"統計年月","縣市","行政區域","教育程度總計","大學以上","大學","大學以下","大學以上比例","大學比例","大學以下比例"
10401,"高雄市","苓雅區福居里",2828,120,580,2128,0.0424,0.2051,0.7525
10401,"高雄市","苓雅區福東里",2736,144,702,1890,0.0526,0.2566,0.6908
10401,"高雄市","苓雅區福西里",1891,80,355,1456,0.0423,0.1877,0.77
10401,"高雄市","苓雅區永康里",2343,197,638,1508,0.0841,0.2723,0.6436
10401,"高雄市","苓雅區正文里",2038,212,659,1167,0.104,0.3234,0.5726
10401,"高雄市","苓雅區正言里",2890,292,859,1739,0.101,0.2972,0.6017
10401,"高雄市","苓雅區正大里",5243,479,1595,3169,0.0914,0.3042,0.6044
10401,"高雄市","苓雅區五福里",3902,311,975,2616,0.0797,0.2499,0.6704
10401,"高雄市","苓雅區正心里",3734,365,1167,2202,0.0978,0.3125,0.5897
10401,"高雄市","苓雅區正道里",4357,344,1245,2768,0.079,0.2857,0.6353
10401,"高雄市","苓雅區正義里",2622,267,758,1597,0.1018,0.2891,0.6091
10401,"高雄市","苓雅區正仁里",2721,186,739,1796,0.0684,0.2716,0.6601
10401,"高雄市","苓雅區文昌里",3984,252,1006,2726,0.0633,0.2525,0.6842
10401,"高雄市","苓雅區建軍里",2108,110,478,1520,0.0522,0.2268,0.7211
10401,"高雄市","苓雅區衛武里",2152,117,507,1528,0.0544,0.2356,0.71
10401,"高雄市","前鎮區草衙里",9696,310,1868,7518,0.032,0.1927,0.7754
10401,"高雄市","前鎮區明孝里",2521,83,488,1950,0.0329,0.1936,0.7735
10401,"高雄市","前鎮區明正里",5237,291,1205,3741,0.0556,0.2301,0.7143
10401,"高雄市","前鎮區明義里",2364,77,494,1793,0.0326,0.209,0.7585
10401,"高雄市","前鎮區仁愛里",1384,42,229,1113,0.0303,0.1655,0.8042
10401,"高雄市","前鎮區德昌里",2077,58,396,1623,0.0279,0.1907,0.7814
10401,"高雄市","前鎮區平等里",2756,138,478,2140,0.0501,0.1734,0.7765
10401,"高雄市","前鎮區平昌里",683,8,102,573,0.0117,0.1493,0.8389
10401,"高雄市","前鎮區明禮里",1581,40,228,1313,0.0253,0.1442,0.8305
10401,"高雄市","前鎮區信義里",1497,51,238,1208,0.0341,0.159,0.8069
10401,"高雄市","前鎮區信德里",2409,49,377,1983,0.0203,0.1565,0.8232
10401,"高雄市","前鎮區明道里",1170,27,210,933,0.0231,0.1795,0.7974
10401,"高雄市","前鎮區興化里",740,17,99,624,0.023,0.1338,0.8432
10401,"高雄市","前鎮區興仁里",785,15,85,685,0.0191,0.1083,0.8726
10401,"高雄市","前鎮區前鎮里",1460,47,239,1174,0.0322,0.1637,0.8041
10401,"高雄市","前鎮區鎮東里",1869,77,332,1460,0.0412,0.1776,0.7812
10401,"高雄市","前鎮區鎮榮里",2313,87,409,1817,0.0376,0.1768,0.7856
10401,"高雄市","前鎮區鎮昌里",2090,73,381,1636,0.0349,0.1823,0.7828
10401,"高雄市","前鎮區鎮海里",4285,256,977,3052,0.0597,0.228,0.7123
10401,"高雄市","前鎮區鎮陽里",1025,39,185,801,0.038,0.1805,0.7815
10401,"高雄市","前鎮區興邦里",2819,231,797,1791,0.0819,0.2827,0.6353
10401,"高雄市","前鎮區鎮中里",834,23,121,690,0.0276,0.1451,0.8273
10401,"高雄市","前鎮區鎮北里",1122,48,226,848,0.0428,0.2014,0.7558
10401,"高雄市","前鎮區忠純里",5148,262,1183,3703,0.0509,0.2298,0.7193
10401,"高雄市","前鎮區忠誠里",2232,122,502,1608,0.0547,0.2249,0.7204
10401,"高雄市","前鎮區西山里",3609,329,1036,2244,0.0912,0.2871,0.6218
10401,"高雄市","前鎮區民權里",4178,479,1412,2287,0.1146,0.338,0.5474
10401,"高雄市","前鎮區建隆里",1262,140,336,786,0.1109,0.2662,0.6228
10401,"高雄市","前鎮區振興里",2297,228,679,1390,0.0993,0.2956,0.6051
10401,"高雄市","前鎮區良和里",2944,363,1009,1572,0.1233,0.3427,0.534
10401,"高雄市","前鎮區西甲里",2104,179,535,1390,0.0851,0.2543,0.6606
10401,"高雄市","前鎮區盛興里",2816,230,773,1813,0.0817,0.2745,0.6438
10401,"高雄市","前鎮區盛豐里",3108,237,788,2083,0.0763,0.2535,0.6702
10401,"高雄市","前鎮區興中里",3254,190,806,2258,0.0584,0.2477,0.6939
10401,"高雄市","前鎮區興東里",5414,523,1610,3281,0.0966,0.2974,0.606
10401,"高雄市","前鎮區忠孝里",2801,227,862,1712,0.081,0.3077,0.6112
10401,"高雄市","前鎮區復國里",2881,213,720,1948,0.0739,0.2499,0.6762
10401,"高雄市","前鎮區竹內里",2816,193,703,1920,0.0685,0.2496,0.6818
10401,"高雄市","前鎮區竹東里",2315,140,618,1557,0.0605,0.267,0.6726
10401,"高雄市","前鎮區竹南里",6823,741,2107,3975,0.1086,0.3088,0.5826
10401,"高雄市","前鎮區竹北里",2308,182,629,1497,0.0789,0.2725,0.6486
10401,"高雄市","前鎮區竹西里",4345,380,1250,2715,0.0875,0.2877,0.6249
10401,"高雄市","前鎮區竹中里",3427,271,963,2193,0.0791,0.281,0.6399
10401,"高雄市","前鎮區瑞竹里",1759,116,396,1247,0.0659,0.2251,0.7089
10401,"高雄市","前鎮區瑞南里",4830,222,1132,3476,0.046,0.2344,0.7197
10401,"高雄市","前鎮區瑞豐里",2908,165,645,2098,0.0567,0.2218,0.7215
10401,"高雄市","前鎮區瑞祥里",5005,301,1288,3416,0.0601,0.2573,0.6825
10401,"高雄市","前鎮區瑞東里",2366,122,485,1759,0.0516,0.205,0.7434
10401,"高雄市","前鎮區瑞和里",2074,101,380,1593,0.0487,0.1832,0.7681
10401,"高雄市","前鎮區瑞平里",3864,224,955,2685,0.058,0.2472,0.6949
10401,"高雄市","前鎮區瑞隆里",3697,183,873,2641,0.0495,0.2361,0.7144
10401,"高雄市","前鎮區瑞北里",3122,132,709,2281,0.0423,0.2271,0.7306
10401,"高雄市","前鎮區瑞西里",2761,139,607,2015,0.0503,0.2198,0.7298
10401,"高雄市","前鎮區瑞崗里",2715,143,594,1978,0.0527,0.2188,0.7285
10401,"高雄市","前鎮區瑞興里",2680,138,606,1936,0.0515,0.2261,0.7224
10401,"高雄市","前鎮區瑞誠里",2752,139,671,1942,0.0505,0.2438,0.7057
10401,"高雄市","前鎮區瑞文里",2510,110,606,1794,0.0438,0.2414,0.7147
10401,"高雄市","前鎮區瑞華里",4659,352,1221,3086,0.0756,0.2621,0.6624
10401,"高雄市","前鎮區瑞昌里",3156,189,750,2217,0.0599,0.2376,0.7025
10401,"高雄市","旗津區旗下里",1242,46,234,962,0.037,0.1884,0.7746
10401,"高雄市","旗津區永安里",1169,28,193,948,0.024,0.1651,0.8109
10401,"高雄市","旗津區振興里",1710,70,313,1327,0.0409,0.183,0.776
10401,"高雄市","旗津區慈愛里",2438,47,329,2062,0.0193,0.1349,0.8458
10401,"高雄市","旗津區復興里",3012,64,475,2473,0.0212,0.1577,0.821
10401,"高雄市","旗津區中華里",1581,45,271,1265,0.0285,0.1714,0.8001
10401,"高雄市","旗津區實踐里",1416,35,204,1177,0.0247,0.1441,0.8312
10401,"高雄市","旗津區北汕里",2758,71,384,2303,0.0257,0.1392,0.835
10401,"高雄市","旗津區南汕里",2104,63,351,1690,0.0299,0.1668,0.8032
10401,"高雄市","旗津區上竹里",2918,84,502,2332,0.0288,0.172,0.7992
10401,"高雄市","旗津區中洲里",1888,46,320,1522,0.0244,0.1695,0.8061
10401,"高雄市","旗津區安順里",933,25,120,788,0.0268,0.1286,0.8446
10401,"高雄市","旗津區中興里",2653,90,526,2037,0.0339,0.1983,0.7678
10401,"高雄市","小港區小港里",2327,117,519,1691,0.0503,0.223,0.7267
10401,"高雄市","小港區港口里",3329,309,1017,2003,0.0928,0.3055,0.6017
10401,"高雄市","小港區港正里",2704,149,754,1801,0.0551,0.2788,0.6661
10401,"高雄市","小港區港墘里",1877,116,466,1295,0.0618,0.2483,0.6899
10401,"高雄市","小港區港明里",3452,124,759,2569,0.0359,0.2199,0.7442
10401,"高雄市","小港區港后里",2633,112,585,1936,0.0425,0.2222,0.7353
10401,"高雄市","小港區港南里",2420,112,532,1776,0.0463,0.2198,0.7339
10401,"高雄市","小港區港興里",2408,126,524,1758,0.0523,0.2176,0.7301
10401,"高雄市","小港區鳳宮里",2336,106,537,1693,0.0454,0.2299,0.7247
10401,"高雄市","小港區店鎮里",6004,282,1430,4292,0.047,0.2382,0.7149
10401,"高雄市","小港區大苓里",2637,153,640,1844,0.058,0.2427,0.6993
10401,"高雄市","小港區二苓里",3985,222,938,2825,0.0557,0.2354,0.7089
10401,"高雄市","小港區三苓里",3022,187,730,2105,0.0619,0.2416,0.6966
10401,"高雄市","小港區正苓里",4261,213,1007,3041,0.05,0.2363,0.7137
10401,"高雄市","小港區順苓里",4616,242,1188,3186,0.0524,0.2574,0.6902
10401,"高雄市","小港區六苓里",2717,198,699,1820,0.0729,0.2573,0.6699
10401,"高雄市","小港區宏亮里",3448,167,793,2488,0.0484,0.23,0.7216
10401,"高雄市","小港區山東里",3039,157,731,2151,0.0517,0.2405,0.7078
10401,"高雄市","小港區青島里",2386,82,526,1778,0.0344,0.2205,0.7452
10401,"高雄市","小港區濟南里",4175,222,1053,2900,0.0532,0.2522,0.6946
10401,"高雄市","小港區泰山里",3323,215,830,2278,0.0647,0.2498,0.6855
10401,"高雄市","小港區山明里",11177,480,2450,8247,0.0429,0.2192,0.7379
10401,"高雄市","小港區高松里",3915,156,795,2964,0.0398,0.2031,0.7571
10401,"高雄市","小港區松金里",2729,108,616,2005,0.0396,0.2257,0.7347
10401,"高雄市","小港區松山里",3134,208,767,2159,0.0664,0.2447,0.6889
10401,"高雄市","小港區大坪里",2682,92,521,2069,0.0343,0.1943,0.7714
10401,"高雄市","小港區坪頂里",5569,206,1163,4200,0.037,0.2088,0.7542
10401,"高雄市","小港區孔宅里",4379,174,1062,3143,0.0397,0.2425,0.7177
10401,"高雄市","小港區廈莊里",3020,159,747,2114,0.0526,0.2474,0.7
10401,"高雄市","小港區合作里",2677,100,582,1995,0.0374,0.2174,0.7452
10401,"高雄市","小港區桂林里",8011,338,1870,5803,0.0422,0.2334,0.7244
10401,"高雄市","小港區中厝里",3497,137,709,2651,0.0392,0.2027,0.7581
10401,"高雄市","小港區鳳鳴里",3133,101,658,2374,0.0322,0.21,0.7577
10401,"高雄市","小港區龍鳳里",3067,153,654,2260,0.0499,0.2132,0.7369
10401,"高雄市","小港區鳳森里",2237,76,478,1683,0.034,0.2137,0.7523
10401,"高雄市","小港區鳳林里",3058,118,642,2298,0.0386,0.2099,0.7515
10401,"高雄市","小港區鳳興里",2497,78,528,1891,0.0312,0.2115,0.7573
10401,"高雄市","小港區鳳源里",3675,126,770,2779,0.0343,0.2095,0.7562
10401,"高雄市","鳳山區縣口里",448,33,127,288,0.0737,0.2835,0.6429
10401,"高雄市","鳳山區成功里",660,40,163,457,0.0606,0.247,0.6924
10401,"高雄市","鳳山區光明里",1400,85,374,941,0.0607,0.2671,0.6721
10401,"高雄市","鳳山區興中里",903,87,232,584,0.0963,0.2569,0.6467
10401,"高雄市","鳳山區南興里",968,63,261,644,0.0651,0.2696,0.6653
10401,"高雄市","鳳山區和德里",2083,149,583,1351,0.0715,0.2799,0.6486
10401,"高雄市","鳳山區鳳崗里",1171,122,343,706,0.1042,0.2929,0.6029
10401,"高雄市","鳳山區中和里",3572,255,988,2329,0.0714,0.2766,0.652
10401,"高雄市","鳳山區鎮北里",6840,419,1784,4637,0.0613,0.2608,0.6779
10401,"高雄市","鳳山區縣衙里",884,61,238,585,0.069,0.2692,0.6618
10401,"高雄市","鳳山區文英里",3438,213,903,2322,0.062,0.2627,0.6754
10401,"高雄市","鳳山區鎮西里",5236,303,1292,3641,0.0579,0.2468,0.6954
10401,"高雄市","鳳山區鎮東里",2436,120,545,1771,0.0493,0.2237,0.727
10401,"高雄市","鳳山區埤頂里",6210,305,1571,4334,0.0491,0.253,0.6979
10401,"高雄市","鳳山區中正里",4095,177,878,3040,0.0432,0.2144,0.7424
10401,"高雄市","鳳山區瑞竹里",5186,270,1246,3670,0.0521,0.2403,0.7077
10401,"高雄市","鳳山區忠義里",4753,367,1311,3075,0.0772,0.2758,0.647
10401,"高雄市","鳳山區誠義里",3740,423,1180,2137,0.1131,0.3155,0.5714
10401,"高雄市","鳳山區新興里",2547,86,395,2066,0.0338,0.1551,0.8112
10401,"高雄市","鳳山區海光里",3201,177,807,2217,0.0553,0.2521,0.6926
10401,"高雄市","鳳山區忠誠里",3356,189,878,2289,0.0563,0.2616,0.6821
10401,"高雄市","鳳山區東門里",5770,245,1289,4236,0.0425,0.2234,0.7341
10401,"高雄市","鳳山區瑞興里",5033,308,1338,3387,0.0612,0.2658,0.673
10401,"高雄市","鳳山區鳳東里",6004,374,1552,4078,0.0623,0.2585,0.6792
10401,"高雄市","鳳山區文德里",8772,913,2724,5135,0.1041,0.3105,0.5854
10401,"高雄市","鳳山區曹公里",2132,178,564,1390,0.0835,0.2645,0.652
10401,"高雄市","鳳山區興仁里",3776,225,954,2597,0.0596,0.2526,0.6878
10401,"高雄市","鳳山區忠孝里",6004,370,1503,4131,0.0616,0.2503,0.688
10401,"高雄市","鳳山區生明里",2132,104,518,1510,0.0488,0.243,0.7083
10401,"高雄市","鳳山區和興里",5177,329,1384,3464,0.0636,0.2673,0.6691
10401,"高雄市","鳳山區協和里",3702,278,978,2446,0.0751,0.2642,0.6607
10401,"高雄市","鳳山區文山里",6287,402,1581,4304,0.0639,0.2515,0.6846
10401,"高雄市","鳳山區誠德里",2373,117,476,1780,0.0493,0.2006,0.7501
10401,"高雄市","鳳山區三民里",1090,87,305,698,0.0798,0.2798,0.6404
10401,"高雄市","鳳山區北門里",4352,196,926,3230,0.045,0.2128,0.7422
10401,"高雄市","鳳山區文華里",8580,664,2367,5549,0.0774,0.2759,0.6467
10401,"高雄市","鳳山區武松里",2839,143,680,2016,0.0504,0.2395,0.7101
10401,"高雄市","鳳山區文衡里",4180,361,1296,2523,0.0864,0.31,0.6036
10401,"高雄市","鳳山區文福里",9337,744,2797,5796,0.0797,0.2996,0.6208
10401,"高雄市","鳳山區誠信里",2110,81,561,1468,0.0384,0.2659,0.6957
10401,"高雄市","鳳山區誠智里",2846,143,648,2055,0.0502,0.2277,0.7221
10401,"高雄市","鳳山區鎮南里",4881,254,998,3629,0.052,0.2045,0.7435
10401,"高雄市","鳳山區老爺里",7075,314,1568,5193,0.0444,0.2216,0.734
10401,"高雄市","鳳山區新甲里",3028,162,744,2122,0.0535,0.2457,0.7008
10401,"高雄市","鳳山區武漢里",4866,308,1216,3342,0.0633,0.2499,0.6868
10401,"高雄市","鳳山區正義里",6445,296,1395,4754,0.0459,0.2164,0.7376
10401,"高雄市","鳳山區一甲里",3401,160,710,2531,0.047,0.2088,0.7442
10401,"高雄市","鳳山區福興里",6021,235,1283,4503,0.039,0.2131,0.7479
10401,"高雄市","鳳山區天興里",3607,155,791,2661,0.043,0.2193,0.7377
10401,"高雄市","鳳山區新強里",5374,389,1419,3566,0.0724,0.264,0.6636
10401,"高雄市","鳳山區國泰里",4021,220,1004,2797,0.0547,0.2497,0.6956
10401,"高雄市","鳳山區新富里",4311,243,1009,3059,0.0564,0.2341,0.7096
10401,"高雄市","鳳山區國光里",3477,188,834,2455,0.0541,0.2399,0.7061
10401,"高雄市","鳳山區國隆里",2644,113,589,1942,0.0427,0.2228,0.7345
10401,"高雄市","鳳山區過埤里",12045,861,3226,7958,0.0715,0.2678,0.6607
10401,"高雄市","鳳山區五福里",3147,177,725,2245,0.0562,0.2304,0.7134
10401,"高雄市","鳳山區福誠里",3905,282,987,2636,0.0722,0.2528,0.675
10401,"高雄市","鳳山區富甲里",2606,50,358,2198,0.0192,0.1374,0.8434
10401,"高雄市","鳳山區南成里",7663,449,1834,5380,0.0586,0.2393,0.7021
10401,"高雄市","鳳山區大德里",4492,212,1005,3275,0.0472,0.2237,0.7291
10401,"高雄市","鳳山區國富里",2698,191,752,1755,0.0708,0.2787,0.6505
10401,"高雄市","鳳山區武慶里",2441,156,578,1707,0.0639,0.2368,0.6993
10401,"高雄市","鳳山區海洋里",3945,237,1086,2622,0.0601,0.2753,0.6646
10401,"高雄市","鳳山區新武里",2361,152,528,1681,0.0644,0.2236,0.712
10401,"高雄市","鳳山區新樂里",4560,271,1274,3015,0.0594,0.2794,0.6612
10401,"高雄市","鳳山區新泰里",4210,276,1170,2764,0.0656,0.2779,0.6565
10401,"高雄市","鳳山區中崙里",2588,104,629,1855,0.0402,0.243,0.7168
10401,"高雄市","鳳山區中榮里",4666,142,940,3584,0.0304,0.2015,0.7681
10401,"高雄市","鳳山區中民里",4580,187,976,3417,0.0408,0.2131,0.7461
10401,"高雄市","鳳山區二甲里",4653,220,1073,3360,0.0473,0.2306,0.7221
10401,"高雄市","鳳山區龍成里",2980,153,640,2187,0.0513,0.2148,0.7339
10401,"高雄市","鳳山區富榮里",2546,118,684,1744,0.0463,0.2687,0.685
10401,"高雄市","鳳山區善美里",5621,284,1277,4060,0.0505,0.2272,0.7223
10401,"高雄市","鳳山區南和里",2809,118,637,2054,0.042,0.2268,0.7312
10401,"高雄市","鳳山區福祥里",2860,127,623,2110,0.0444,0.2178,0.7378
10401,"高雄市","鳳山區保安里",5785,390,1566,3829,0.0674,0.2707,0.6619
10401,"高雄市","林園區東林里",2942,117,607,2218,0.0398,0.2063,0.7539
10401,"高雄市","林園區林園里",3473,160,762,2551,0.0461,0.2194,0.7345
10401,"高雄市","林園區溪州里",4071,107,713,3251,0.0263,0.1751,0.7986
10401,"高雄市","林園區潭頭里",2868,74,520,2274,0.0258,0.1813,0.7929
10401,"高雄市","林園區中厝里",3115,78,511,2526,0.025,0.164,0.8109
10401,"高雄市","林園區中門里",2530,76,431,2023,0.03,0.1704,0.7996
10401,"高雄市","林園區頂厝里",4538,139,844,3555,0.0306,0.186,0.7834
10401,"高雄市","林園區港埔里",1861,59,315,1487,0.0317,0.1693,0.799
10401,"高雄市","林園區西溪里",3521,72,611,2838,0.0204,0.1735,0.806
10401,"高雄市","林園區港嘴里",1722,33,313,1376,0.0192,0.1818,0.7991
10401,"高雄市","林園區北汕里",1666,34,228,1404,0.0204,0.1369,0.8427
10401,"高雄市","林園區林內里",2050,46,338,1666,0.0224,0.1649,0.8127
10401,"高雄市","林園區王公里",3995,191,921,2883,0.0478,0.2305,0.7217
10401,"高雄市","林園區林家里",1342,34,235,1073,0.0253,0.1751,0.7996
10401,"高雄市","林園區龔厝里",1893,54,340,1499,0.0285,0.1796,0.7919
10401,"高雄市","林園區鳳芸里",1900,42,303,1555,0.0221,0.1595,0.8184
10401,"高雄市","林園區中芸里",1900,40,288,1572,0.0211,0.1516,0.8274
10401,"高雄市","林園區東汕里",952,23,147,782,0.0242,0.1544,0.8214
10401,"高雄市","林園區西汕里",779,15,119,645,0.0193,0.1528,0.828
10401,"高雄市","林園區仁愛里",3085,167,663,2255,0.0541,0.2149,0.731
10401,"高雄市","林園區文賢里",2469,103,512,1854,0.0417,0.2074,0.7509
10401,"高雄市","林園區廣應里",3498,149,700,2649,0.0426,0.2001,0.7573
10401,"高雄市","林園區五福里",2674,54,456,2164,0.0202,0.1705,0.8093
10401,"高雄市","林園區中汕里",2426,46,290,2090,0.019,0.1195,0.8615
10401,"高雄市","大寮區拷潭里",1488,41,228,1219,0.0276,0.1532,0.8192
10401,"高雄市","大寮區內坑里",5809,127,1035,4647,0.0219,0.1782,0.8
10401,"高雄市","大寮區大寮里",6918,186,1299,5433,0.0269,0.1878,0.7853
10401,"高雄市","大寮區上寮里",2449,75,437,1937,0.0306,0.1784,0.7909
10401,"高雄市","大寮區三隆里",4735,176,939,3620,0.0372,0.1983,0.7645
10401,"高雄市","大寮區琉球里",4440,142,957,3341,0.032,0.2155,0.7525
10401,"高雄市","大寮區翁園里",3852,116,821,2915,0.0301,0.2131,0.7567
10401,"高雄市","大寮區前庄里",2407,102,541,1764,0.0424,0.2248,0.7329
10401,"高雄市","大寮區中庄里",10918,479,2380,8059,0.0439,0.218,0.7381
10401,"高雄市","大寮區後庄里",7640,299,1710,5631,0.0391,0.2238,0.737
10401,"高雄市","大寮區義仁里",1892,43,292,1557,0.0227,0.1543,0.8229
10401,"高雄市","大寮區新厝里",1706,49,252,1405,0.0287,0.1477,0.8236
10401,"高雄市","大寮區過溪里",2580,67,527,1986,0.026,0.2043,0.7698
10401,"高雄市","大寮區潮寮里",3136,67,563,2506,0.0214,0.1795,0.7991
10401,"高雄市","大寮區會結里",1627,30,276,1321,0.0184,0.1696,0.8119
10401,"高雄市","大寮區會社里",6329,234,1254,4841,0.037,0.1981,0.7649
10401,"高雄市","大寮區山頂里",7729,258,1660,5811,0.0334,0.2148,0.7518
10401,"高雄市","大寮區忠義里",588,13,89,486,0.0221,0.1514,0.8265
10401,"高雄市","大寮區永芳里",7054,264,1520,5270,0.0374,0.2155,0.7471
10401,"高雄市","大寮區義和里",2139,73,392,1674,0.0341,0.1833,0.7826
10401,"高雄市","大寮區溪寮里",1586,52,266,1268,0.0328,0.1677,0.7995
10401,"高雄市","大寮區江山里",1881,56,387,1438,0.0298,0.2057,0.7645
10401,"高雄市","大寮區昭明里",3658,118,606,2934,0.0323,0.1657,0.8021
10401,"高雄市","大寮區光武里",195,3,17,175,0.0154,0.0872,0.8974
10401,"高雄市","大寮區中興里",6943,298,1496,5149,0.0429,0.2155,0.7416
10401,"高雄市","大樹區竹寮里",2770,114,668,1988,0.0412,0.2412,0.7177
10401,"高雄市","大樹區九曲里",5068,151,1020,3897,0.0298,0.2013,0.7689
10401,"高雄市","大樹區久堂里",4211,176,900,3135,0.0418,0.2137,0.7445
10401,"高雄市","大樹區水安里",2460,100,482,1878,0.0407,0.1959,0.7634
