"統計年月","縣市","行政區域","教育程度總計","大學以上","大學","大學以下","大學以上比例","大學比例","大學以下比例"
10403,"高雄市","岡山區前峰里",3016,137,680,2199,0.0454,0.2255,0.7291
10403,"高雄市","岡山區劉厝里",1489,74,296,1119,0.0497,0.1988,0.7515
10403,"高雄市","岡山區協和里",3741,188,945,2608,0.0503,0.2526,0.6971
10403,"高雄市","岡山區後協里",5681,333,1391,3957,0.0586,0.2449,0.6965
10403,"高雄市","岡山區信義里",1873,136,526,1211,0.0726,0.2808,0.6466
10403,"高雄市","岡山區潭底里",787,32,123,632,0.0407,0.1563,0.803
10403,"高雄市","岡山區三和里",911,10,131,770,0.011,0.1438,0.8452
10403,"高雄市","岡山區仁壽里",3559,258,898,2403,0.0725,0.2523,0.6752
10403,"高雄市","岡山區碧紅里",3935,230,996,2709,0.0584,0.2531,0.6884
10403,"高雄市","岡山區程香里",4202,293,1126,2783,0.0697,0.268,0.6623
10403,"高雄市","岡山區竹圍里",6760,400,1738,4622,0.0592,0.2571,0.6837
10403,"高雄市","岡山區台上里",5524,286,1311,3927,0.0518,0.2373,0.7109
10403,"高雄市","岡山區灣裡里",1898,94,477,1327,0.0495,0.2513,0.6992
10403,"高雄市","岡山區白米里",1841,71,395,1375,0.0386,0.2146,0.7469
10403,"高雄市","岡山區石潭里",1931,104,438,1389,0.0539,0.2268,0.7193
10403,"高雄市","岡山區福興里",1092,34,233,825,0.0311,0.2134,0.7555
10403,"高雄市","岡山區本洲里",1831,63,374,1394,0.0344,0.2043,0.7613
10403,"高雄市","岡山區嘉興里",3630,144,769,2717,0.0397,0.2118,0.7485
10403,"高雄市","岡山區嘉峰里",1836,57,325,1454,0.031,0.177,0.7919
10403,"高雄市","岡山區華崗里",1614,37,268,1309,0.0229,0.166,0.811
10403,"高雄市","岡山區大莊里",1006,15,154,837,0.0149,0.1531,0.832
10403,"高雄市","岡山區協榮里",2246,107,497,1642,0.0476,0.2213,0.7311
10403,"高雄市","岡山區為隨里",680,24,134,522,0.0353,0.1971,0.7676
10403,"高雄市","岡山區壽峰里",2400,152,604,1644,0.0633,0.2517,0.685
10403,"高雄市","岡山區仁義里",1981,141,586,1254,0.0712,0.2958,0.633
10403,"高雄市","橋頭區橋頭里",2163,206,601,1356,0.0952,0.2779,0.6269
10403,"高雄市","橋頭區橋南里",1173,92,290,791,0.0784,0.2472,0.6743
10403,"高雄市","橋頭區仕隆里",2449,181,634,1634,0.0739,0.2589,0.6672
10403,"高雄市","橋頭區仕豐里",2470,145,585,1740,0.0587,0.2368,0.7045
10403,"高雄市","橋頭區芋寮里",1275,55,252,968,0.0431,0.1976,0.7592
10403,"高雄市","橋頭區東林里",2450,105,578,1767,0.0429,0.2359,0.7212
10403,"高雄市","橋頭區西林里",1537,57,309,1171,0.0371,0.201,0.7619
10403,"高雄市","橋頭區白樹里",3278,170,778,2330,0.0519,0.2373,0.7108
10403,"高雄市","橋頭區筆秀里",1613,70,364,1179,0.0434,0.2257,0.7309
10403,"高雄市","橋頭區新莊里",2016,180,546,1290,0.0893,0.2708,0.6399
