"有偶人數","有偶比例","行政區域","統計年月","縣市"
490,62.98,"苓雅區林安里",10407,"高雄市"
444,57.81,"苓雅區林西里",10407,"高雄市"
1006,64.12,"苓雅區林南里",10407,"高雄市"
689,70.38,"苓雅區林泉里",10407,"高雄市"
823,70.4,"苓雅區林圍里",10407,"高雄市"
644,70.46,"苓雅區林富里",10407,"高雄市"
767,61.16,"苓雅區林華里",10407,"高雄市"
511,62.93,"苓雅區林貴里",10407,"高雄市"
448,59.89,"苓雅區林靖里",10407,"高雄市"
1093,58.64,"苓雅區林榮里",10407,"高雄市"
524,58.29,"苓雅區林德里",10407,"高雄市"
361,55.54,"苓雅區林興里",10407,"高雄市"
364,50.42,"苓雅區城北里",10407,"高雄市"
124,45.93,"苓雅區城西里",10407,"高雄市"
551,52.48,"苓雅區城東里",10407,"高雄市"
416,54.17,"苓雅區奏捷里",10407,"高雄市"
452,53.55,"苓雅區建軍里",10407,"高雄市"
325,56.13,"苓雅區美田里",10407,"高雄市"
537,60.34,"苓雅區英明里",10407,"高雄市"
401,50.7,"苓雅區苓中里",10407,"高雄市"
292,48.26,"苓雅區苓昇里",10407,"高雄市"
361,49.45,"苓雅區苓東里",10407,"高雄市"
425,52.66,"苓雅區苓洲里",10407,"高雄市"
363,50.56,"苓雅區苓雅里",10407,"高雄市"
683,65.67,"苓雅區凱旋里",10407,"高雄市"
204,54.84,"苓雅區博仁里",10407,"高雄市"
997,63.54,"苓雅區普天里",10407,"高雄市"
910,60.51,"苓雅區普照里",10407,"高雄市"
500,37.85,"苓雅區晴朗里",10407,"高雄市"
381,56.53,"苓雅區朝陽里",10407,"高雄市"
852,54.83,"苓雅區華堂里",10407,"高雄市"
983,46.79,"苓雅區意誠里",10407,"高雄市"
279,59.36,"苓雅區鼓中里",10407,"高雄市"
530,56.87,"苓雅區福人里",10407,"高雄市"
670,53.3,"苓雅區福地里",10407,"高雄市"
435,49.49,"苓雅區福西里",10407,"高雄市"
638,53.57,"苓雅區福居里",10407,"高雄市"
696,59.13,"苓雅區福東里",10407,"高雄市"
454,55.1,"苓雅區福南里",10407,"高雄市"
273,55.38,"苓雅區福海里",10407,"高雄市"
497,56.48,"苓雅區福康里",10407,"高雄市"
276,50.55,"苓雅區福祥里",10407,"高雄市"
690,58.72,"苓雅區福隆里",10407,"高雄市"
354,52.91,"苓雅區福壽里",10407,"高雄市"
505,59.06,"苓雅區廣澤里",10407,"高雄市"
521,53.71,"苓雅區衛武里",10407,"高雄市"
173,47.4,"前金區三川里",10407,"高雄市"
250,55.07,"前金區文西里",10407,"高雄市"
302,49.92,"前金區文東里",10407,"高雄市"
215,48.86,"前金區北金里",10407,"高雄市"
225,56.96,"前金區民生里",10407,"高雄市"
284,53.48,"前金區東金里",10407,"高雄市"
209,37.06,"前金區林投里",10407,"高雄市"
304,51.88,"前金區社西里",10407,"高雄市"
492,60.59,"前金區社東里",10407,"高雄市"
518,58.8,"前金區長生里",10407,"高雄市"
338,49.63,"前金區長城里",10407,"高雄市"
307,48.12,"前金區長興里",10407,"高雄市"
471,53.16,"前金區青山里",10407,"高雄市"
193,54.52,"前金區後金里",10407,"高雄市"
290,56.2,"前金區草江里",10407,"高雄市"
300,60.12,"前金區國民里",10407,"高雄市"
243,47.55,"前金區博孝里",10407,"高雄市"
272,55.51,"前金區復元里",10407,"高雄市"
1017,55.91,"前金區新生里",10407,"高雄市"
266,49.26,"前金區榮復里",10407,"高雄市"
267,49.54,"新興區大明里",10407,"高雄市"
720,46.66,"新興區中東里",10407,"高雄市"
257,43.93,"新興區仁聲里",10407,"高雄市"
807,64.05,"新興區文昌里",10407,"高雄市"
409,57.2,"新興區正氣里",10407,"高雄市"
380,54.36,"新興區永寧里",10407,"高雄市"
225,49.34,"新興區玉衡里",10407,"高雄市"
640,56.74,"新興區光耀里",10407,"高雄市"
332,57.94,"新興區成功里",10407,"高雄市"
190,52.05,"新興區明莊里",10407,"高雄市"
361,58.23,"新興區東坡里",10407,"高雄市"
230,45.19,"新興區長驛里",10407,"高雄市"
523,55.88,"新興區南港里",10407,"高雄市"
227,50.9,"新興區建華里",10407,"高雄市"
265,53,"新興區建興里",10407,"高雄市"
209,46.76,"新興區秋山里",10407,"高雄市"
325,54.44,"新興區振成里",10407,"高雄市"
334,58.19,"新興區振華里",10407,"高雄市"
544,57.14,"新興區浩然里",10407,"高雄市"
277,59.96,"新興區華聲里",10407,"高雄市"
999,63.39,"新興區開平里",10407,"高雄市"
551,61.09,"新興區順昌里",10407,"高雄市"
324,61.48,"新興區愛平里",10407,"高雄市"
315,54.03,"新興區新江里",10407,"高雄市"
215,59.89,"新興區榮治里",10407,"高雄市"
190,52.34,"新興區漢民里",10407,"高雄市"
932,61.2,"新興區德生里",10407,"高雄市"
189,54.31,"新興區德政里",10407,"高雄市"
584,59.47,"新興區德望里",10407,"高雄市"
219,49.89,"新興區黎明里",10407,"高雄市"
506,60.17,"新興區興昌里",10407,"高雄市"
218,60.39,"新興區蕉園里",10407,"高雄市"
262,53.69,"三民區力行里",10407,"高雄市"
400,55.63,"三民區十全里",10407,"高雄市"
470,56.63,"三民區十美里",10407,"高雄市"
264,54.89,"三民區千北里",10407,"高雄市"
485,49.14,"三民區千秋里",10407,"高雄市"
299,54.46,"三民區千歲里",10407,"高雄市"
