"行政區域","綜合所得中位數_log","平均教育程度","有偶比例","女男比","扶老比_log","每戶平均用電度數","cluster"
"大社區翠屏里",0.445124057509557,0.32724730013208,0.36873217764535,0.394625603864734,0.582465303608535,0.556558325177003,"5"
"大社區大社里",0.420518412698219,0.379224613472147,0.457344481992107,0.370772946859903,0.533019732830824,0.576739416896527,"5"
"大社區觀音里",0.414626011925474,0.362908864890063,0.461328553745769,0.385265700483092,0.496439998634154,0.497137869524136,"5"
"大社區嘉誠里",0.187871370174055,0.177997047626447,0.34764770297099,0.329710144927536,0.701263431628853,0.274768762737646,"2"
"大社區三奶里",0.304449786873508,0.293217310232305,0.332278767669356,0.351298309178744,0.629089483616451,0.492362708833835,"3"
"大社區神農里",0.392166103521987,0.370212104731567,0.420564138957662,0.439915458937198,0.494370437961453,0.459724676183092,"5"
"大社區中里里",0.384548384009164,0.278688524590164,0.301827013372027,0.354619565217391,0.575433719447162,0.432548207090287,"3"
"大樹區大坑里",0.335764488350956,0.240773832647036,0.302079798133423,0.264341787439614,0.680757782528658,0.370208420722587,"3"
"大樹區大樹里",0.31113693118173,0.23564602594981,0.321266914430587,0.242602657004831,0.646644873903097,0.573120972149839,"3"
"大樹區姑山里",0.386077287804042,0.244036982363453,0.22512159691558,0.261624396135266,0.795173534444444,0.395973950587468,"3"
"大樹區和山里",0.249012000850797,0.194235102167664,0.095674519242746,0.256944444444444,0.739401532590884,0.316935931495299,"2"
"大樹區井腳里",0.414626011925474,0.210317768627146,0.197170752460194,0.222071256038647,0.734884837685074,0.366166270502049,"2"
"大樹區九曲里",0.342215467354586,0.284127107450859,0.34832800164919,0.431461352657005,0.546755793360076,0.449670145288607,"5"
"大樹區久堂里",0.367550192150329,0.331365084298034,0.363922802628805,0.428442028985507,0.696424288409916,0.439734251926801,"3"
"大樹區龍目里",0.350212322848571,0.209385440136742,0.138393909502501,0.229317632850242,0.710792989720335,0.385012689978942,"2"
"大樹區三和里",0.39670483756355,0.364773521870872,0.345596696383468,0.376509661835749,0.756653649932218,0.776118264671861,"4"
"大樹區檨腳里",0.345423059470124,0.266024395928832,0.305064797010987,0.38058574879227,0.657030791337342,0.457072279916784,"3"
"大樹區水安里",0.332520923156406,0.301142102400746,0.199257580903903,0.316274154589372,0.642712760648794,0.400130501285946,"2"
"大樹區水寮里",0.372219186443466,0.25444798383964,0.174469984421328,0.323520531400966,0.690360095993465,0.422006414900874,"2"
"大樹區統嶺里",0.245426654099932,0.231450547742988,0.127434103853068,0.541817632850241,0.687957737705728,0.215085609690992,"2"
"大樹區溪埔里",0.522876287075206,0.26369357470282,0.308448101823976,0.232035024154589,0.708364682239164,0.701224085113956,"3"
"大樹區小坪里",0.462081978653893,0.302385207054619,0.305453033278152,0.246225845410628,0.659922519539615,0.5575921665332,"3"
"大樹區興山里",0.236397928726148,0.18693186232616,0.0336942777967134,0.23143115942029,0.640736367226217,0.278692275425506,"2"
"大樹區興田里",0.216197694723317,0.292673451946236,0,1,0.594895229881247,0.312423468198786,"2"
"大樹區竹寮里",0.354975295536266,0.372698314039313,0.374540666432893,0.291968599033816,0.531631815009771,0.454186845639859,"5"
"鳳山區保安里",0.596630540587459,0.479605314272395,0.87731375566065,0.533514492753623,0.228436418627065,0.421358145525882,"7"
"鳳山區北門里",0.370665644973659,0.337425219485665,0.369644669071381,0.457578502415459,0.614906848776653,0.451314122527149,"5"
"鳳山區曹公里",0.495034774987291,0.507497474943672,0.429050153844884,0.492300724637681,0.640690374452016,0.414011092609306,"4"
"鳳山區成功里",0.290918866586389,0.426928754564525,0.572612907779038,0.314009661835749,0.870680799661896,0.410146898687784,"1"
"鳳山區誠德里",0.378405684518134,0.328490404785953,0.426760624173654,0.569897342995169,0.735456638875638,0.393707126302365,"3"
"鳳山區誠信里",0.420518412698219,0.40455287079481,0.458364069089153,0.601902173913043,0.435481441992316,0.338341532034252,"5"
"鳳山區誠義里",0.674519721093189,0.655737704918033,0.791970324698933,0.420742753623188,0.327401013023798,0.607144521700076,"7"
"鳳山區誠智里",0.399717523503867,0.372698314039313,0.458135414302927,0.559480676328502,0.517210200833451,0.357497256507057,"5"
"鳳山區大德里",0.439396956325964,0.359490327091912,0.487773960852286,0.441123188405797,0.529967093328982,0.424480854868164,"5"
"鳳山區東門里",0.386077287804042,0.348069303084453,0.415174841675651,0.547705314009662,0.662412190490992,0.358535334917992,"5"
"鳳山區二甲里",0.423449674537164,0.370445186854168,0.482529645527658,0.433876811594203,0.448497129749119,0.416621118328228,"5"
"鳳山區鳳東里",0.522876287075206,0.44876078004817,0.616513909252546,0.509812801932367,0.514259872808878,0.420743772588798,"7"
"鳳山區鳳崗里",0.534540202998338,0.599875689534613,0.473611029060965,0.52445652173913,0.704667694091127,0.424925745615708,"4"
"鳳山區福誠里",0.466270173491219,0.462978789526843,0.588228489469978,0.551630434782609,0.513525479909074,0.361081804815836,"7"
"鳳山區福祥里",0.393681654438473,0.343796130836765,0.507920541492513,0.467995169082126,0.564687974733075,0.480164228241665,"5"
"鳳山區福興里",0.376863190460175,0.323906456374796,0.440966873474971,0.501056763285024,0.581202009002377,0.361937689873016,"5"
