"縣市名稱","行政區域"
"高雄市","三民區德北里"
"高雄市","三民區立誠里"
"高雄市","三民區立業里"
"高雄市","三民區港東里"
"高雄市","三民區港新里"
"高雄市","三民區港西里"
"高雄市","三民區博愛里"
"高雄市","三民區博惠里"
"高雄市","三民區長明里"
"高雄市","三民區建東里"
"高雄市","三民區興德里"
"高雄市","三民區鳳南里"
"高雄市","三民區鳳北里"
"高雄市","三民區德西里"
"高雄市","三民區豐裕里"
"高雄市","三民區川東里"
"高雄市","三民區裕民里"
"高雄市","三民區力行里"
"高雄市","三民區千歲里"
"高雄市","三民區立德里"
"高雄市","三民區千北里"
"高雄市","三民區千秋里"
"高雄市","新興區浩然里"
"高雄市","新興區振成里"
"高雄市","新興區德生里"
"高雄市","新興區振華里"
"高雄市","新興區正氣里"
"高雄市","新興區德政里"
"高雄市","新興區仁聲里"
"高雄市","新興區德望里"
"高雄市","新興區華聲里"
"高雄市","新興區蕉園里"
"高雄市","新興區永寧里"
"高雄市","新興區玉衡里"
"高雄市","新興區順昌里"
"高雄市","新興區文昌里"
"高雄市","新興區光耀里"
"高雄市","新興區興昌里"
"高雄市","新興區開平里"
"高雄市","新興區成功里"
"高雄市","新興區新江里"
"高雄市","新興區黎明里"
"高雄市","新興區愛平里"
"高雄市","新興區南港里"
"高雄市","新興區中東里"
"高雄市","新興區明莊里"
"高雄市","新興區大明里"
"高雄市","新興區秋山里"
"高雄市","新興區長驛里"
"高雄市","新興區建興里"
"高雄市","新興區建華里"
"高雄市","新興區漢民里"
"高雄市","新興區榮治里"
"高雄市","新興區東坡里"
"高雄市","前金區三川里"
"高雄市","前金區草江里"
"高雄市","前金區長城里"
"高雄市","前金區北金里"
"高雄市","前金區東金里"
"高雄市","前金區新生里"
"高雄市","前金區後金里"
"高雄市","前金區長興里"
"高雄市","前金區青山里"
"高雄市","前金區民生里"
"高雄市","前金區復元里"
"高雄市","前金區林投里"
"高雄市","前金區國民里"
"高雄市","前金區社東里"
"高雄市","前金區社西里"
"高雄市","前金區博孝里"
"高雄市","前金區長生里"
"高雄市","前金區榮復里"
"高雄市","前金區文西里"
"高雄市","前金區文東里"
"高雄市","苓雅區博仁里"
"高雄市","苓雅區苓洲里"
"高雄市","苓雅區苓昇里"
"高雄市","苓雅區苓中里"
"高雄市","苓雅區苓雅里"
"高雄市","苓雅區苓東里"
"高雄市","苓雅區城北里"
"高雄市","苓雅區城西里"
"高雄市","苓雅區城東里"
"高雄市","苓雅區意誠里"
"高雄市","苓雅區鼓中里"
"高雄市","苓雅區田西里"
"高雄市","苓雅區人和里"
"高雄市","苓雅區仁政里"
"高雄市","苓雅區廣澤里"
"高雄市","苓雅區美田里"
"高雄市","苓雅區華堂里"
"高雄市","苓雅區日中里"
"高雄市","苓雅區普照里"
"高雄市","苓雅區和煦里"
"高雄市","苓雅區晴朗里"
"高雄市","苓雅區普天里"
"高雄市","苓雅區林富里"
"高雄市","苓雅區林圍里"
"高雄市","苓雅區林安里"
"高雄市","苓雅區光華里"
"高雄市","苓雅區林興里"
"高雄市","苓雅區林華里"
"高雄市","苓雅區林西里"
"高雄市","苓雅區林中里"
"高雄市","苓雅區林泉里"
"高雄市","苓雅區林南里"
"高雄市","苓雅區中正里"
"高雄市","苓雅區尚義里"
"高雄市","苓雅區同慶里"
"高雄市","苓雅區凱旋里"
"高雄市","苓雅區安祥里"
"高雄市","苓雅區奏捷里"
"高雄市","苓雅區福壽里"
"高雄市","苓雅區福南里"
"高雄市","苓雅區五權里"
"高雄市","苓雅區民主里"
"高雄市","苓雅區林德里"
"高雄市","苓雅區林貴里"
"高雄市","苓雅區林榮里"
"高雄市","苓雅區英明里"
"高雄市","苓雅區林靖里"
"高雄市","苓雅區朝陽里"
"高雄市","苓雅區福隆里"
"高雄市","苓雅區福祥里"
"高雄市","苓雅區福海里"
"高雄市","苓雅區福康里"
"高雄市","苓雅區福人里"
"高雄市","苓雅區福地里"
"高雄市","苓雅區福居里"
"高雄市","苓雅區福東里"
"高雄市","苓雅區福西里"
"高雄市","苓雅區永康里"
"高雄市","苓雅區正文里"
"高雄市","苓雅區正言里"
"高雄市","苓雅區正大里"
"高雄市","苓雅區五福里"
"高雄市","苓雅區正心里"
"高雄市","苓雅區正道里"
"高雄市","苓雅區正義里"
"高雄市","苓雅區正仁里"
"高雄市","苓雅區文昌里"
"高雄市","苓雅區建軍里"
"高雄市","苓雅區衛武里"
"高雄市","前鎮區草衙里"
"高雄市","前鎮區明孝里"
"高雄市","前鎮區明正里"
"高雄市","前鎮區明義里"
"高雄市","前鎮區仁愛里"
"高雄市","前鎮區德昌里"
"高雄市","前鎮區平等里"
"高雄市","前鎮區平昌里"
"高雄市","前鎮區明禮里"
"高雄市","前鎮區信義里"
"高雄市","前鎮區信德里"
"高雄市","前鎮區明道里"
"高雄市","前鎮區興化里"
"高雄市","前鎮區興仁里"
"高雄市","前鎮區前鎮里"
"高雄市","前鎮區鎮東里"
"高雄市","前鎮區鎮榮里"
"高雄市","前鎮區鎮昌里"
"高雄市","前鎮區鎮海里"
"高雄市","前鎮區鎮陽里"
"高雄市","前鎮區興邦里"
"高雄市","前鎮區鎮中里"
"高雄市","前鎮區鎮北里"
"高雄市","前鎮區忠純里"
"高雄市","前鎮區忠誠里"
"高雄市","前鎮區西山里"
"高雄市","前鎮區民權里"
"高雄市","前鎮區建隆里"
"高雄市","前鎮區振興里"
"高雄市","前鎮區良和里"
"高雄市","前鎮區西甲里"
"高雄市","前鎮區盛興里"
"高雄市","前鎮區盛豐里"
"高雄市","前鎮區興中里"
"高雄市","前鎮區興東里"
"高雄市","前鎮區忠孝里"
"高雄市","前鎮區復國里"
"高雄市","前鎮區竹內里"
"高雄市","前鎮區竹東里"
"高雄市","前鎮區竹南里"
"高雄市","前鎮區竹北里"
"高雄市","前鎮區竹西里"
"高雄市","前鎮區竹中里"
"高雄市","前鎮區瑞竹里"
"高雄市","前鎮區瑞南里"
"高雄市","前鎮區瑞豐里"
"高雄市","前鎮區瑞祥里"
"高雄市","前鎮區瑞東里"
"高雄市","前鎮區瑞和里"
"高雄市","前鎮區瑞平里"
"高雄市","前鎮區瑞隆里"
"高雄市","前鎮區瑞北里"
"高雄市","前鎮區瑞西里"
"高雄市","前鎮區瑞崗里"
"高雄市","前鎮區瑞興里"
"高雄市","前鎮區瑞誠里"
"高雄市","前鎮區瑞文里"
"高雄市","前鎮區瑞華里"
"高雄市","前鎮區瑞昌里"
"高雄市","旗津區旗下里"
"高雄市","旗津區永安里"
"高雄市","旗津區振興里"
"高雄市","旗津區慈愛里"
"高雄市","旗津區復興里"
"高雄市","旗津區中華里"
"高雄市","旗津區實踐里"
"高雄市","旗津區北汕里"
"高雄市","旗津區南汕里"
"高雄市","旗津區上竹里"
"高雄市","旗津區中洲里"
"高雄市","旗津區安順里"
"高雄市","旗津區中興里"
"高雄市","小港區小港里"
"高雄市","小港區港口里"
"高雄市","小港區港正里"
"高雄市","小港區港墘里"
"高雄市","小港區港明里"
"高雄市","小港區港后里"
"高雄市","小港區港南里"
"高雄市","小港區港興里"
"高雄市","小港區鳳宮里"
"高雄市","小港區店鎮里"
"高雄市","小港區大苓里"
"高雄市","小港區二苓里"
"高雄市","小港區三苓里"
"高雄市","小港區正苓里"
"高雄市","小港區順苓里"
"高雄市","小港區六苓里"
"高雄市","小港區宏亮里"
"高雄市","小港區山東里"
"高雄市","小港區青島里"
"高雄市","小港區濟南里"
"高雄市","小港區泰山里"
"高雄市","小港區山明里"
"高雄市","小港區高松里"
"高雄市","小港區松金里"
"高雄市","小港區松山里"
"高雄市","小港區大坪里"
"高雄市","小港區坪頂里"
"高雄市","小港區孔宅里"
"高雄市","小港區廈莊里"
"高雄市","小港區合作里"
"高雄市","小港區桂林里"
"高雄市","小港區中厝里"
"高雄市","小港區鳳鳴里"
"高雄市","小港區龍鳳里"
"高雄市","小港區鳳森里"
"高雄市","小港區鳳林里"
"高雄市","小港區鳳興里"
"高雄市","小港區鳳源里"
"高雄市","鳳山區縣口里"
"高雄市","鳳山區成功里"
"高雄市","鳳山區光明里"
"高雄市","鳳山區興中里"
"高雄市","鳳山區南興里"
"高雄市","鳳山區和德里"
"高雄市","鳳山區鳳崗里"
"高雄市","鳳山區中和里"
"高雄市","鳳山區鎮北里"
"高雄市","鳳山區縣衙里"
"高雄市","鳳山區文英里"
"高雄市","鳳山區鎮西里"
"高雄市","鳳山區鎮東里"
"高雄市","鳳山區埤頂里"
"高雄市","鳳山區中正里"
"高雄市","鳳山區鎮南里"
"高雄市","鳳山區老爺里"
"高雄市","鳳山區瑞竹里"
"高雄市","鳳山區忠義里"
"高雄市","鳳山區誠義里"
