"縣市","行政區域","售電量度數","統計年月","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得平均數","綜合所得中位數","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","每戶平均用電度數","每人平均用電度數"
"高雄市","大寮區翁園里",1588482,10407,3852,0.0301,0.2131,0.7567,"965","696762","722","567",1455,4411,0.4779,0.5221,0.2145,0.333,0.372,0.0805,3,3,0,5,2,931,64.16,1091.74,360.12
"高雄市","大寮區溪寮里",592406,10407,1586,0.0328,0.1677,0.7995,"380","282065","742","584",572,1762,0.4631,0.5369,0.1867,0.3156,0.3837,0.1141,2,1,1,3,1,365,63.92,1035.67,336.21
"高雄市","大寮區新厝里",616777,10407,1706,0.0287,0.1477,0.8236,"335","238383","712","540",711,1863,0.4686,0.5314,0.1804,0.3215,0.3752,0.1229,3,1,2,1,0,411,57.56,867.48,331.07
"高雄市","大寮區義和里",889233,10407,2139,0.0341,0.1833,0.7826,"521","356496","684","562",889,2308,0.4714,0.5286,0.149,0.3085,0.396,0.1464,1,1,0,2,1,556,62.19,1000.26,385.28
"高雄市","大寮區義仁里",715464,10407,1892,0.0227,0.1543,0.8229,"454","315647","695","520",861,2043,0.4513,0.5487,0.1434,0.2961,0.4185,0.1419,1,1,0,2,0,478,55.45,830.97,350.2
"高雄市","大寮區永芳里",3180943,10407,7054,0.0374,0.2155,0.7471,"1806","1357986","752","558",2860,8004,0.4999,0.5001,0.2033,0.3222,0.3807,0.0938,8,5,3,2,2,1750,61.25,1112.22,397.42
"高雄市","大寮區昭明里",1757769,10407,3658,0.0323,0.1657,0.8021,"912","628307","689","551",1625,4010,0.4676,0.5324,0.1516,0.3337,0.3988,0.116,5,3,2,5,4,956,58.54,1081.7,438.35
"高雄市","大寮區中興里",3072388,10407,6943,0.0429,0.2155,0.7416,"1654","1205137","729","578",2996,7459,0.5025,0.4975,0.1557,0.3027,0.4073,0.1343,10,6,4,7,5,1602,53.26,1025.5,411.9
"高雄市","大寮區中庄里",4678497,10407,10918,0.0439,0.218,0.7381,"2776","1895081","683","550",4394,12387,0.4941,0.5059,0.1992,0.3449,0.371,0.0849,17,9,8,17,3,2716,61.69,1064.75,377.69
"高雄市","大寮區忠義里",242341,10407,588,0.0221,0.1514,0.8265,"100","69384","694","533",303,632,0.4968,0.5032,0.1424,0.2342,0.4478,0.1756,1,0,1,0,0,149,49.5,799.81,383.45
"高雄市","大社區保安里",1314883,10407,3237,0.0395,0.2357,0.7247,"912","688343","755","575",1317,3649,0.4955,0.5045,0.194,0.3283,0.3801,0.0976,3,3,0,4,0,820,62.36,998.39,360.34
"高雄市","大社區保社里",1244018,10407,2983,0.0493,0.2125,0.7382,"817","686046","840","589",1299,3285,0.484,0.516,0.183,0.3297,0.4009,0.0865,3,2,1,0,2,821,62.43,957.67,378.7
"高雄市","大社區翠屏里",939160,10407,1750,0.0423,0.2103,0.7474,"450","338506","752","608",706,1964,0.4929,0.5071,0.1797,0.3177,0.39,0.1125,3,2,1,3,1,419,59.18,1330.25,478.19
"高雄市","大社區大社里",2999637,10407,5097,0.0536,0.2268,0.7196,"1395","1124598","806","591",2177,5671,0.4888,0.5112,0.1763,0.3185,0.405,0.1002,8,3,5,2,2,1315,60.07,1377.88,528.94
"高雄市","大社區觀音里",2631122,10407,5556,0.0448,0.2295,0.7257,"1447","1105838","764","587",2211,6291,0.4913,0.5087,0.1998,0.3247,0.3866,0.0889,10,6,4,4,3,1422,64.29,1190.01,418.24
"高雄市","大社區嘉誠里",288694,10407,1027,0.0224,0.1441,0.8335,"190","120022","632","452",434,1144,0.4816,0.5184,0.1635,0.2544,0.4301,0.1521,2,1,1,0,0,244,55.96,665.19,252.35
"高雄市","大社區三奶里",1372048,10407,2779,0.0367,0.1968,0.7665,"705","482971","685","517",1164,3113,0.4854,0.5146,0.1792,0.3116,0.3832,0.1259,2,2,0,1,0,642,55.25,1178.74,440.75
