"YM","CODEBASE","kW"
10507,"A6302-0212-00",133492
10506,"A6302-0212-00",819
10507,"A6302-0213-00",131006
10506,"A6302-0213-00",834
10507,"A6302-0214-00",104662
10506,"A6302-0214-00",193
10507,"A6302-0215-00",183268
10507,"A6302-0216-00",69061
10507,"A6302-0217-00",29840
10507,"A6302-0218-00",118759
10507,"A6302-0219-00",405734
10506,"A6302-0219-00",1083
10507,"A6302-0220-00",160577
10507,"A6302-0221-00",313973
10506,"A6302-0221-00",2196
10507,"A6302-0222-00",141117
10506,"A6302-0222-00",816
10507,"A6302-0223-00",1043
10507,"A6302-0224-00",165929
10507,"A6302-0225-00",66787
10506,"A6302-0225-00",7
10507,"A6302-0226-00",159223
10506,"A6302-0226-00",1075
10507,"A6302-0227-00",143995
10507,"A6302-0228-00",103377
10507,"A6302-0229-00",103358
10506,"A6302-0229-00",477
10507,"A6302-0230-00",115361
10507,"A6302-0231-00",87117
10507,"A6302-0232-00",1516
10507,"A6302-0233-00",181618
10507,"A6302-0234-00",46841
10507,"A6302-0235-00",44711
10507,"A6302-0236-00",59096
10507,"A6302-0237-00",91739
10507,"A6302-0238-00",57250
10507,"A6302-0239-00",412681
10506,"A6302-0239-00",38954
10507,"A6302-0240-00",254423
10507,"A6302-0241-00",643902
10506,"A6302-0241-00",4016
10507,"A6302-0242-00",73254
10507,"A6302-0243-00",38685
10506,"A6302-0243-00",1024
10507,"A6302-0244-00",36078
10507,"A6302-0245-00",89793
10507,"A6302-0246-00",778506
10506,"A6302-0246-00",13640
10507,"A6302-0247-00",127253
10507,"A6302-0248-00",79962
10506,"A6302-0248-00",192
10507,"A6302-0249-00",95883
10507,"A6302-0250-00",83016
10506,"A6302-0250-00",388
10507,"A6302-0251-00",197979
10507,"A6302-0252-00",79254
10507,"A6302-0253-00",117885
10507,"A6302-0254-00",92734
10507,"A6302-0255-00",109130
10507,"A6302-0256-00",61673
10506,"A6302-0256-00",477
10507,"A6302-0257-00",60089
10507,"A6302-0258-00",232732
10507,"A6302-0259-00",169959
10506,"A6302-0259-00",2538
10507,"A6302-0260-00",174498
10507,"A6302-0261-00",149537
10507,"A6302-0262-00",92481
10507,"A6302-0263-00",239420
10507,"A6302-0264-00",100400
10507,"A6302-0265-00",448043
10506,"A6302-0265-00",1310
10507,"A6302-0266-00",173085
10506,"A6302-0266-00",1549
10507,"A6302-0267-00",36999
10507,"A6302-0268-00",92895
10507,"A6302-0269-00",180946
10506,"A6302-0269-00",688
10507,"A6302-0270-00",151452
10507,"A6302-0271-00",130295
10507,"A6302-0272-00",116248
10507,"A6302-0273-00",82969
10506,"A6302-0273-00",1339
10507,"A6302-0274-00",89887
10506,"A6302-0274-00",130
10507,"A6302-0275-00",467521
10506,"A6302-0275-00",2737
10507,"A6302-0276-00",1053575
10506,"A6302-0276-00",34949
10507,"A6302-0277-00",254568
10507,"A6302-0278-00",65717
10507,"A6302-0279-00",115355
10507,"A6302-0280-00",76014
10507,"A6302-0281-00",144796
10507,"A6302-0282-00",81767
10507,"A6302-0283-00",222622
10506,"A6302-0283-00",847
10507,"A6302-0284-00",96426
10507,"A6302-0285-00",279387
10506,"A6302-0285-00",5557
10507,"A6302-0286-00",105929
10507,"A6302-0287-00",106894
10506,"A6302-0287-00",2708
10507,"A6302-0288-00",135732
10506,"A6302-0288-00",9635
10507,"A6302-0289-00",74906
10507,"A6302-0290-00",155399
10506,"A6302-0290-00",276
10507,"A6302-0291-00",14605
10506,"A6302-0291-00",1747
10507,"A6302-0292-00",201196
10506,"A6302-0292-00",111
10507,"A6302-0293-00",92894
10506,"A6302-0293-00",82
10507,"A6302-0294-00",226002
10507,"A6302-0295-00",226677
10507,"A6302-0296-00",268989
10506,"A6302-0296-00",2732
10507,"A6302-0297-00",469936
10506,"A6302-0297-00",133
10507,"A6302-0299-00",35803
10506,"A6302-0299-00",1399
10507,"A6302-0300-00",44029
10507,"A6302-0301-00",222163
10506,"A6302-0301-00",791
10507,"A6302-0302-00",87034
10507,"A6302-0303-00",72266
10506,"A6302-0303-00",317
10507,"A6302-0304-00",80563
10507,"A6302-0305-00",55613
10507,"A6302-0306-00",58438
10507,"A6302-0307-00",71662
10507,"A6302-0308-00",78075
10507,"A6302-0309-00",122054
10506,"A6302-0309-00",880
10507,"A6302-0310-00",73990
10507,"A6302-0311-00",140978
10507,"A6302-0312-00",176051
10507,"A6302-0313-00",224134
10507,"A6302-0314-00",119253
10507,"A6302-0315-00",71887
10506,"A6302-0315-00",804
10507,"A6302-0316-00",182981
10506,"A6302-0316-00",40
10507,"A6302-0317-00",62457
10507,"A6302-0318-00",63901
10507,"A6302-0319-00",156428
10507,"A6302-0320-00",364359
10506,"A6302-0320-00",5499
10507,"A6302-0321-00",120716
10507,"A6302-0322-00",109723
10507,"A6302-0323-00",103919
10507,"A6302-0324-00",69196
10507,"A6302-0325-00",137118
10507,"A6302-0326-00",64333
10506,"A6302-0326-00",829
10507,"A6302-0328-00",68641
10507,"A6302-0329-00",60383
10507,"A6302-0330-00",156280
10507,"A6302-0331-00",109308
10506,"A6302-0331-00",451
10507,"A6302-0332-00",201704
10507,"A6302-0333-00",179280
10506,"A6302-0333-00",40
10507,"A6302-0334-00",97895
10507,"A6302-0335-00",46160
10507,"A6302-0336-00",77394
10507,"A6302-0337-00",65037
10507,"A6302-0338-00",148897
10507,"A6302-0339-00",309615
10506,"A6302-0339-00",472
10507,"A6302-0340-00",78339
10507,"A6302-0341-00",63743
10506,"A6302-0343-00",2592
10507,"A6302-0344-00",124604
10507,"A6302-0345-00",3169
10507,"A6302-0346-00",69713
10507,"A6302-0347-00",81523
10507,"A6302-0348-00",71434
10507,"A6302-0349-00",88318
10507,"A6302-0350-00",92894
10507,"A6302-0351-00",128215
10507,"A6302-0352-00",218774
10506,"A6302-0352-00",929
10507,"A6302-0353-00",185354
10506,"A6302-0353-00",52811
10507,"A6302-0354-00",133600
10506,"A6302-0354-00",743
10507,"A6302-0355-00",6065
10507,"A6302-0356-00",70980
10507,"A6302-0357-00",183263
10507,"A6302-0359-00",85563
10506,"A6302-0359-00",1160
10507,"A6302-0360-00",52994
10507,"A6302-0361-00",51499
10507,"A6302-0362-00",64604
10507,"A6302-0363-00",98919
10507,"A6302-0364-00",311233
10506,"A6302-0364-00",486
10507,"A6302-0365-00",55456
10507,"A6302-0366-00",114222
10506,"A6302-0366-00",176
10507,"A6302-0367-00",75235
10507,"A6302-0368-00",98065
10506,"A6302-0368-00",1165
10507,"A6302-0369-00",155117
10507,"A6302-0370-00",186170
10506,"A6302-0370-00",3743
10507,"A6302-0371-00",112446
10507,"A6302-0372-00",141045
10507,"A6302-0373-00",79053
10507,"A6302-0374-00",169082
10507,"A6302-0375-00",81542
10507,"A6302-0376-00",114005
10507,"A6302-0377-00",118194
10507,"A6302-0378-00",78649
10507,"A6302-0379-00",133589
10507,"A6302-0380-00",129191
10507,"A6302-0381-00",164872
10507,"A6302-0382-00",149383
10507,"A6302-0383-00",85721
10507,"A6302-0384-00",75813
10507,"A6302-0385-00",45544
10507,"A6302-0387-00",72531
10507,"A6302-0388-00",83724
10507,"A6302-0389-00",32382
10507,"A6302-0390-00",126215
10507,"A6302-0391-00",155181
10507,"A6302-0392-00",286881
10506,"A6302-0392-00",40
10507,"A6302-0393-00",81122
10507,"A6302-0394-00",88774
10507,"A6302-0395-00",128121
10507,"A6302-0396-00",2493
10507,"A6302-0397-00",329121
10506,"A6302-0397-00",2428
10507,"A6302-0398-00",101637
10507,"A6302-0399-00",266648
10506,"A6302-0399-00",2327
10507,"A6302-0400-00",80245
10507,"A6302-0401-00",89006
10507,"A6302-0402-00",279058
10506,"A6302-0402-00",40
10507,"A6302-0403-00",98543
10507,"A6302-0404-00",104034
10507,"A6302-0405-00",130831
10506,"A6302-0405-00",559
10507,"A6302-0406-00",57365
10507,"A6302-0407-00",84272
10507,"A6302-0408-00",97281
10507,"A6302-0409-00",127235
10507,"A6302-0410-00",117522
10507,"A6302-0411-00",53330
10506,"A6302-0411-00",1180
10507,"A6302-0412-00",126709
10506,"A6302-0412-00",318
10507,"A6302-0413-00",294126
10506,"A6302-0413-00",40
10507,"A6302-0414-00",50305
10507,"A6302-0415-00",40771
10507,"A6302-0416-00",659083
10506,"A6302-0416-00",959
10507,"A6302-0417-00",203639
10507,"A6302-0418-00",87136
10507,"A6302-0419-00",517849
10506,"A6302-0419-00",51
10507,"A6302-0420-00",634006
10506,"A6302-0420-00",1440
10507,"A6302-0421-00",107460
10507,"A6302-0422-00",27608
10507,"A6302-0423-00",99053
10507,"A6302-0424-00",158548
10507,"A6302-0425-00",43275
10507,"A6302-0426-00",294711
10506,"A6302-0426-00",56565
10507,"A6302-0427-00",48049
10507,"A6302-0428-00",53229
10507,"A6302-0429-00",139796
10506,"A6302-0429-00",2468
10507,"A6302-0430-00",84179
10507,"A6302-0431-00",71064
10507,"A6302-0432-00",50453
10506,"A6302-0432-00",171705
10507,"A6302-0433-00",177615
10507,"A6302-0434-00",3200
10506,"A6302-0434-00",67989
10507,"A6302-0435-00",64074
10507,"A6302-0436-00",83589
10507,"A6302-0437-00",174984
10507,"A6302-0438-00",128083
10507,"A6302-0439-00",115248
10506,"A6302-0439-00",846
10507,"A6302-0440-00",131927
10507,"A6302-0441-00",90209
10506,"A6302-0441-00",101
10507,"A6302-0442-00",82085
10507,"A6302-0443-00",60639
10507,"A6302-0444-00",18236
10506,"A6302-0444-00",113507
10507,"A6302-0445-00",108579
10507,"A6302-0446-00",22076
10506,"A6302-0446-00",179528
10507,"A6302-0447-00",407563
10507,"A6302-0448-00",88365
10506,"A6302-0448-00",1535
10507,"A6302-0449-00",185076
10506,"A6302-0449-00",825
10507,"A6302-0450-00",63668
10507,"A6302-0451-00",7691
10506,"A6302-0451-00",94461
10507,"A6302-0452-00",1342
10506,"A6302-0452-00",68746
10507,"A6302-0453-00",40
10506,"A6302-0453-00",105678
10507,"A6302-0454-00",98549
10507,"A6302-0455-00",55034
10506,"A6302-0455-00",607
10507,"A6302-0456-00",296534
10506,"A6302-0456-00",777
10507,"A6302-0457-00",56671
10507,"A6302-0458-00",670086
10506,"A6302-0458-00",15501
10507,"A6302-0459-00",135543
10507,"A6302-0460-00",104862
10507,"A6302-0461-00",83444
10507,"A6302-0463-00",97806
10506,"A6302-0463-00",99
10507,"A6302-0464-00",1363
10506,"A6302-0464-00",92681
10507,"A6302-0465-00",35286
10507,"A6302-0466-00",11381
10506,"A6302-0466-00",91859
10507,"A6302-0467-00",130040
10507,"A6302-0468-00",4224
10506,"A6302-0468-00",64952
10507,"A6302-0469-00",1101
10506,"A6302-0469-00",56382
10507,"A6302-0470-00",94109
10507,"A6302-0471-00",309630
10506,"A6302-0471-00",56051
10507,"A6302-0472-00",166690
10506,"A6302-0473-00",33375
10507,"A6302-0474-00",15516
10506,"A6302-0474-00",132783
10507,"A6302-0475-00",8024
10506,"A6302-0475-00",115730
10507,"A6302-0476-00",80056
10506,"A6302-0477-00",82238
10507,"A6302-0479-00",453
10506,"A6302-0479-00",120368
10507,"A6302-0480-00",89583
10507,"A6302-0481-00",65820
10506,"A6302-0482-00",42730
10507,"A6302-0483-00",12739
10507,"A6302-0484-00",309933
10506,"A6302-0484-00",343
10507,"A6302-0485-00",72926
10507,"A6302-0486-00",81183
10507,"A6302-0487-00",46340
10507,"A6302-0488-00",3672
10506,"A6302-0488-00",46073
10506,"A6302-0489-00",32606
10507,"A6302-0490-00",230912
10506,"A6302-0490-00",7441
10507,"A6302-0491-00",44126
10507,"A6302-0492-00",70249
10507,"A6302-0493-00",161925
10507,"A6302-0494-00",28648
10506,"A6302-0494-00",147259
10506,"A6302-0495-00",35058
10507,"A6302-0496-00",708072
10506,"A6302-0496-00",2375
10507,"A6302-0500-00",97511
10506,"A6302-0501-00",89939
10507,"A6302-0502-00",201307
10507,"A6302-0503-00",51712
10506,"A6302-0504-00",51381
10506,"A6302-0505-00",27587
10507,"A6302-0506-00",74762
10507,"A6302-0507-00",80
10506,"A6302-0507-00",19827
10507,"A6302-0508-00",48074
10506,"A6302-0508-00",1669
10507,"A6302-0509-00",163383
10507,"A6302-0510-00",117341
10507,"A6302-0511-00",109557
10506,"A6302-0511-00",689
10507,"A6302-0512-00",49171
10506,"A6302-0512-00",89838
10507,"A6302-0513-00",160731
10506,"A6302-0513-00",3802
10507,"A6302-0514-00",139603
10506,"A6302-0515-00",103613
10507,"A6302-0516-00",115460
10507,"A6302-0517-00",13908
10506,"A6302-0517-00",169358
10507,"A6302-0518-00",316983
10506,"A6302-0518-00",422
10507,"A6302-0519-00",60
10506,"A6302-0519-00",241965
10507,"A6302-0520-00",88559
10507,"A6302-0521-00",134679
10506,"A6302-0521-00",40
10507,"A6302-0522-00",3312
10506,"A6302-0522-00",281820
10507,"A6302-0523-00",64236
10507,"A6302-0524-00",119752
10506,"A6302-0524-00",300
10507,"A6302-0525-00",28147
10507,"A6302-0526-00",112580
10507,"A6302-0527-00",62013
10506,"A6302-0527-00",96
10507,"A6302-0528-00",242710
10507,"A6302-0529-00",507920
10506,"A6302-0529-00",192484
10507,"A6302-0530-00",71089
10507,"A6302-0531-00",6714
10506,"A6302-0531-00",407
10507,"A6302-0532-00",384585
10506,"A6302-0532-00",185
10507,"A6302-0533-00",90298
10506,"A6302-0533-00",297748
10507,"A6302-0534-00",4450
10506,"A6302-0534-00",100909
10507,"A6302-0535-00",110864
10507,"A6302-0536-00",11880
10506,"A6302-0536-00",92017
10507,"A6302-0537-00",84403
10507,"A6302-0538-00",70896
10507,"A6302-0539-00",47915
10506,"A6302-0539-00",101450
10507,"A6302-0540-00",138505
10506,"A6302-0540-00",70
10507,"A6302-0541-00",408740
10506,"A6302-0541-00",450
10507,"A6302-0542-00",48906
10506,"A6302-0544-00",69453
10507,"A6302-0544-00",49
10507,"A6302-0545-00",41277
10506,"A6302-0545-00",226988
10507,"A6302-0546-00",353623
10507,"A6302-0547-00",156408
10507,"A6302-0548-00",115361
10507,"A6302-0549-00",10725
10506,"A6302-0549-00",14213
10507,"A6302-0550-00",92355
10507,"A6302-0551-00",26808
10506,"A6302-0551-00",169309
10507,"A6302-0552-00",75907
10507,"A6302-0553-00",46373
10506,"A6302-0553-00",338145
10507,"A6302-0554-00",11961
10506,"A6302-0554-00",249729
10507,"A6302-0555-00",59300
10506,"A6302-0555-00",196819
10507,"A6302-0556-00",263535
10507,"A6302-0557-00",621936
10506,"A6302-0557-00",40
10507,"A6302-0558-00",224552
10506,"A6302-0558-00",722
10507,"A6302-0559-00",17255
10507,"A6302-0560-00",48627
10507,"A6302-0561-00",116872
10507,"A6302-0562-00",50589
10507,"A6302-0563-00",27551
10506,"A6302-0563-00",52316
10507,"A6302-0564-00",61965
10507,"A6302-0565-00",97893
10507,"A6302-0566-00",84507
10506,"A6302-0566-00",247
10507,"A6302-0567-00",143598
10506,"A6302-0567-00",174182
10507,"A6302-0568-00",366157
10506,"A6302-0568-00",463543
10507,"A6302-0569-00",74334
10506,"A6302-0569-00",108950
10507,"A6302-0570-00",53400
10506,"A6302-0570-00",11006
10507,"A6302-0571-00",122212
10506,"A6302-0571-00",305479
10507,"A6302-0572-00",69963
10506,"A6302-0572-00",950
10507,"A6302-0573-00",54641
10506,"A6302-0573-00",203425
10507,"A6302-0574-00",46041
10506,"A6302-0574-00",190850
10507,"A6302-0575-00",190050
10506,"A6302-0575-00",1928
10507,"A6302-0576-00",84950
10506,"A6302-0576-00",38
10507,"A6302-0577-00",185874
10507,"A6302-0578-00",78750
10507,"A6302-0579-00",59803
10507,"A6302-0580-00",65439
10507,"A6302-0581-00",552553
10506,"A6302-0581-00",376432
10507,"A6302-0582-00",229349
10506,"A6302-0582-00",40
10507,"A6302-0583-00",21501
10506,"A6302-0583-00",107981
10507,"A6302-0584-00",226545
10506,"A6302-0584-00",19387
10507,"A6302-0585-00",105008
10506,"A6302-0585-00",2811
10506,"A6302-0586-00",62902
10507,"A6302-0587-00",21088
10506,"A6302-0587-00",132129
10507,"A6302-0588-00",130690
10506,"A6302-0589-00",112967
10507,"A6302-0590-00",43428
10506,"A6302-0590-00",120
10507,"A6302-0591-00",153536
10507,"A6302-0592-00",128606
10506,"A6302-0592-00",518015
10507,"A6302-0593-00",81178
10507,"A6302-0594-00",3293
10507,"A6302-0595-00",3167
10506,"A6302-0595-00",140426
10507,"A6302-0596-00",178255
10506,"A6302-0596-00",244
10507,"A6302-0597-00",23440
10506,"A6302-0597-00",237455
10507,"A6302-0598-00",104335
10507,"A6302-0599-00",37877
10506,"A6302-0599-00",35777
10507,"A6302-0600-00",189887
10507,"A6302-0601-00",25640
10506,"A6302-0601-00",24720
10507,"A6302-0602-00",116789
10507,"A6302-0603-00",4000
10507,"A6302-0604-00",14555
10506,"A6302-0604-00",131182
10507,"A6302-0605-00",80
10506,"A6302-0605-00",74004
10507,"A6302-0606-00",9445
10506,"A6302-0606-00",142594
10507,"A6302-0607-00",107377
10506,"A6302-0607-00",40
10507,"A6302-0608-00",632962
10506,"A6302-0608-00",126215
10507,"A6302-0609-00",134528
10506,"A6302-0609-00",1054
10507,"A6302-0610-00",16480
10506,"A6302-0610-00",130071
10507,"A6302-0611-00",108525
10507,"A6302-0612-00",169370
10506,"A6302-0612-00",368
10506,"A6302-0613-00",86783
10507,"A6302-0614-00",80
10506,"A6302-0614-00",64791
10507,"A6302-0615-00",69740
10507,"A6302-0616-00",4112
10506,"A6302-0616-00",73423
10507,"A6302-0617-00",294937
10506,"A6302-0617-00",500
10507,"A6302-0618-00",123121
10506,"A6302-0618-00",362
10507,"A6302-0619-00",3440
10506,"A6302-0619-00",60818
10507,"A6302-0620-00",2728
10506,"A6302-0620-00",108310
10507,"A6302-0621-00",163282
10506,"A6302-0621-00",120
10507,"A6302-0622-00",160774
10506,"A6302-0622-00",973
10507,"A6302-0623-00",78144
10506,"A6302-0623-00",54789
10507,"A6302-0624-00",27593
10506,"A6302-0624-00",137367
10507,"A6302-0625-00",173978
10506,"A6302-0625-00",595
10507,"A6302-0626-00",18572
10506,"A6302-0626-00",140130
10507,"A6302-0627-00",6522
10506,"A6302-0627-00",104136
10507,"A6302-0628-00",52520
10506,"A6302-0628-00",119348
10507,"A6302-0629-00",151734
10506,"A6302-0629-00",3240
10507,"A6302-0631-00",40
10506,"A6302-0631-00",107601
10507,"A6302-0632-00",7422
10506,"A6302-0632-00",82329
10507,"A6302-0633-00",113914
10507,"A6302-0634-00",137240
10506,"A6302-0634-00",50525
10507,"A6302-0635-00",688
10506,"A6302-0635-00",263654
10507,"A6302-0636-00",219209
10506,"A6302-0636-00",2219
10507,"A6302-0638-00",150507
10506,"A6302-0638-00",1061
10507,"A6302-0639-00",8520
10506,"A6302-0639-00",113707
10507,"A6302-0640-00",4605
10506,"A6302-0640-00",84541
10507,"A6302-0641-00",9407
10506,"A6302-0641-00",231545
10507,"A6302-0642-00",148299
10507,"A6302-0643-00",7013
10506,"A6302-0643-00",129314
10507,"A6302-0644-00",147016
10506,"A6302-0644-00",8554
10507,"A6302-0645-00",66630
10507,"A6302-0646-00",269995
10506,"A6302-0646-00",8200
10507,"A6302-0647-00",47563
10507,"A6302-0648-00",63880
10506,"A6302-0648-00",153039
10507,"A6302-0649-00",122732
10507,"A6302-0650-00",95998
10507,"A6302-0651-00",114213
10507,"A6302-0652-00",20077
10506,"A6302-0652-00",87717
10507,"A6302-0653-00",42596
10506,"A6302-0653-00",137921
10507,"A6302-0654-00",93570
10507,"A6302-0655-00",7640
10506,"A6302-0655-00",71168
10507,"A6302-0656-00",54786
10507,"A6302-0657-00",11179
10506,"A6302-0657-00",100043
10507,"A6302-0658-00",330
10506,"A6302-0658-00",104770
10506,"A6302-0659-00",115837
10507,"A6302-0660-00",11261
10506,"A6302-0660-00",149118
10507,"A6302-0661-00",49555
10506,"A6302-0661-00",187628
10507,"A6302-0662-00",104440
10507,"A6302-0663-00",72423
10506,"A6302-0663-00",391276
10507,"A6302-0664-00",326192
10507,"A6302-0665-00",114053
10507,"A6302-0666-00",4566
10506,"A6302-0666-00",81254
10507,"A6302-0667-00",73016
10507,"A6302-0668-00",73208
10506,"A6302-0668-00",1251
10507,"A6302-0669-00",546
10506,"A6302-0669-00",70539
10506,"A6302-0670-00",114137
10507,"A6302-0671-00",107967
10506,"A6302-0672-00",66587
10507,"A6302-0673-00",8803
10506,"A6302-0673-00",99985
10506,"A6302-0674-00",118155
10507,"A6302-0675-00",117703
10507,"A6302-0676-00",18664
10506,"A6302-0676-00",121819
10507,"A6302-0677-00",23095
10506,"A6302-0677-00",69088
10507,"A6302-0678-00",9593
10506,"A6302-0679-00",91357
10507,"A6302-0680-00",922
10506,"A6302-0680-00",44450
10507,"A6302-0681-00",2020
10506,"A6302-0681-00",93022
10507,"A6302-0682-00",73651
10506,"A6302-0682-00",10578
10507,"A6302-0683-00",22332
10506,"A6302-0683-00",149108
10507,"A6302-0684-00",156271
10506,"A6302-0684-00",284944
10507,"A6302-0685-00",12960
10506,"A6302-0685-00",89161
10507,"A6302-0686-00",43286
10507,"A6302-0687-00",110938
10507,"A6302-0688-00",18134
10506,"A6302-0688-00",91524
10507,"A6302-0689-00",21920
10506,"A6302-0689-00",120258
10507,"A6302-0690-00",27442
10506,"A6302-0690-00",150172
10507,"A6302-0691-00",142898
10507,"A6302-0692-00",148106
10506,"A6302-0692-00",6850
10507,"A6302-0693-00",40010
10506,"A6302-0693-00",149082
10507,"A6302-0694-00",129820
10506,"A6302-0694-00",884
10507,"A6302-0695-00",99327
10507,"A6302-0696-00",17040
10506,"A6302-0696-00",125515
10507,"A6302-0697-00",21223
10506,"A6302-0697-00",179259
10507,"A6302-0698-00",302763
10506,"A6302-0698-00",2239
10507,"A6302-0699-00",39135
10506,"A6302-0699-00",147220
10507,"A6302-0700-00",9299
10506,"A6302-0700-00",135653
10507,"A6302-0701-00",913
10506,"A6302-0701-00",64079
10506,"A6302-0702-00",72234
10507,"A6302-0703-00",11447
10506,"A6302-0703-00",56486
10507,"A6302-0704-00",141655
10506,"A6302-0704-00",43778
10507,"A6302-0705-00",5920
10506,"A6302-0705-00",104523
10507,"A6302-0706-00",6425
10506,"A6302-0706-00",94483
10507,"A6302-0707-00",97859
10507,"A6302-0708-00",47205
10507,"A6302-0709-00",4675
10506,"A6302-0709-00",102459
10506,"A6302-0710-00",60463
10507,"A6302-0711-00",560
10506,"A6302-0711-00",109507
10507,"A6302-0712-00",2416
10506,"A6302-0712-00",108352
10507,"A6302-0713-00",126923
10506,"A6302-0714-00",61651
10507,"A6302-0715-00",99939
10506,"A6302-0715-00",349
10507,"A6302-0716-00",14165
10506,"A6302-0716-00",151554
10507,"A6302-0717-00",394
10506,"A6302-0717-00",86691
10506,"A6302-0718-00",44970
10506,"A6302-0719-00",65052
10507,"A6302-0720-00",109611
10506,"A6302-0721-00",27234
10507,"A6302-0722-00",88277
10506,"A6302-0722-00",2979
10507,"A6302-0723-00",9261
10506,"A6302-0723-00",56872
10507,"A6302-0724-00",2213
10506,"A6302-0724-00",98169
10506,"A6302-0725-00",20659
10506,"A6302-0726-00",89613
10507,"A6302-0727-00",46080
10506,"A6302-0727-00",1513
10507,"A6302-0728-00",282
10506,"A6302-0728-00",90896
10507,"A6302-0729-00",992
10506,"A6302-0729-00",119961
10507,"A6302-0730-00",172045
10506,"A6302-0730-00",1565
10507,"A6302-0731-00",110173
10507,"A6302-0732-00",542
10506,"A6302-0732-00",40908
10507,"A6302-0733-00",335270
10506,"A6302-0734-00",100809
10506,"A6302-0735-00",22460
10507,"A6302-0736-00",7080
10506,"A6302-0736-00",89616
10507,"A6302-0737-00",138380
10506,"A6302-0738-00",64385
10507,"A6302-0739-00",5095
10506,"A6302-0739-00",67486
10507,"A6302-0740-00",14825
10506,"A6302-0740-00",60582
10507,"A6302-0741-00",190504
10507,"A6302-0742-00",94620
10507,"A6302-0743-00",113961
10506,"A6302-0744-00",56352
10506,"A6302-0745-00",49367
10506,"A6302-0746-00",61993
10507,"A6302-0747-00",876
10506,"A6302-0747-00",98028
10507,"A6302-0748-00",5218
10506,"A6302-0748-00",90510
10507,"A6302-0749-00",313672
10506,"A6302-0749-00",1860
10507,"A6302-0750-00",76599
10506,"A6302-0750-00",443
10506,"A6302-0751-00",80569
10507,"A6302-0752-00",96398
10506,"A6302-0752-00",48
10507,"A6302-0753-00",740
10506,"A6302-0753-00",56620
10507,"A6302-0754-00",101072
10507,"A6302-0755-00",201787
10506,"A6302-0756-00",138612
10507,"A6302-0757-00",110
10506,"A6302-0757-00",74628
10507,"A6302-0758-00",1034
10506,"A6302-0758-00",75263
10507,"A6302-0759-00",132038
10506,"A6302-0759-00",1315
10507,"A6302-0760-00",80
10506,"A6302-0760-00",109216
10507,"A6302-0761-00",128177
10507,"A6302-0762-00",191027
10506,"A6302-0762-00",480
10507,"A6302-0763-00",49140
10506,"A6302-0763-00",141089
10507,"A6302-0764-00",80
10506,"A6302-0764-00",38560
10506,"A6302-0765-00",90386
10507,"A6302-0766-00",2113
10506,"A6302-0766-00",47908
10507,"A6302-0767-00",9240
10506,"A6302-0767-00",61666
10507,"A6302-0768-00",103151
10507,"A6302-0769-00",66366
10507,"A6302-0770-00",159913
10506,"A6302-0770-00",712
10507,"A6302-0771-00",91979
10507,"A6302-0772-00",105791
10506,"A6302-0772-00",40
10506,"A6302-0773-00",14700
10507,"A6302-0774-00",1985
10506,"A6302-0774-00",87540
10507,"A6302-0775-00",85630
10506,"A6302-0775-00",5400
10507,"A6302-0776-00",13000
10506,"A6302-0776-00",60986
10507,"A6302-0777-00",65442
10507,"A6302-0778-00",213404
10506,"A6302-0778-00",2175
10507,"A6302-0779-00",8432
10506,"A6302-0779-00",83045
10506,"A6302-0780-00",72821
10507,"A6302-0781-00",4206
10506,"A6302-0781-00",50396
10507,"A6302-0782-00",88126
10506,"A6302-0783-00",27090
10507,"A6302-0784-00",106483
10507,"A6302-0785-00",2631
10506,"A6302-0785-00",87115
10507,"A6302-0786-00",134905
10507,"A6302-0787-00",86177
10507,"A6302-0788-00",13400
10506,"A6302-0788-00",61090
10507,"A6302-0789-00",70994
10506,"A6302-0789-00",585
10507,"A6302-0790-00",79767
10507,"A6302-0791-00",202495
10507,"A6302-0792-00",635
10506,"A6302-0792-00",89560
10507,"A6302-0793-00",7800
10506,"A6302-0793-00",59928
10507,"A6302-0794-00",1406
10506,"A6302-0794-00",81071
10506,"A6302-0795-00",80291
10507,"A6302-0796-00",74280
10507,"A6302-0797-00",551
10506,"A6302-0797-00",52683
10506,"A6302-0798-00",77837
10507,"A6302-0799-00",61850
10507,"A6302-0800-00",47531
10507,"A6302-0801-00",134589
10506,"A6302-0802-00",46533
10507,"A6302-0803-00",83963
10507,"A6302-0804-00",492
10506,"A6302-0804-00",136058
10507,"A6302-0805-00",8194
10506,"A6302-0805-00",51640
10507,"A6302-0806-00",186659
10507,"A6302-0807-00",99722
10507,"A6302-0808-00",230185
10507,"A6302-0809-00",40
10506,"A6302-0809-00",50846
10506,"A6302-0810-00",44484
10507,"A6302-0811-00",84011
10506,"A6302-0812-00",1025
10507,"A6302-0813-00",6223
10506,"A6302-0813-00",73368
10507,"A6302-0814-00",79051
10507,"A6302-0815-00",87909
10506,"A6302-0815-00",919
10507,"A6302-0816-00",133853
10507,"A6302-0817-00",83545
10506,"A6302-0817-00",1328
10507,"A6302-0818-00",132754
10507,"A6302-0819-00",48353
10507,"A6302-0820-00",12010
10506,"A6302-0820-00",93284
10506,"A6302-0821-00",28257
10507,"A6302-0822-00",119716
10506,"A6302-0822-00",1344
10507,"A6302-0823-00",821
10506,"A6302-0823-00",27832
10506,"A6302-0824-00",48730
10507,"A6302-0825-00",123712
10507,"A6302-0826-00",1770
10506,"A6302-0826-00",89236
