"YM","CODEBASE","kW"
10507,"A6301-0152-00",54019
10507,"A6301-0153-00",70758
10506,"A6301-0153-00",142
10507,"A6301-0154-00",201366
10506,"A6301-0154-00",2989
10507,"A6301-0155-00",73819
10507,"A6301-0156-00",124799
10506,"A6301-0156-00",841
10507,"A6301-0157-00",54608
10507,"A6301-0158-00",112426
10506,"A6301-0158-00",2859
10507,"A6301-0159-00",71423
10507,"A6301-0160-00",118677
10507,"A6301-0161-00",691073
10506,"A6301-0161-00",11406
10507,"A6301-0162-00",341896
10506,"A6301-0162-00",1851
10507,"A6301-0164-00",92226
10507,"A6301-0165-00",55171
10507,"A6301-0166-00",104705
10507,"A6301-0167-00",132149
10507,"A6301-0168-00",104456
10506,"A6301-0168-00",375
10507,"A6301-0171-00",59960
10507,"A6301-0172-00",583442
10507,"A6301-0173-00",167498
10507,"A6301-0174-00",70989
10506,"A6301-0174-00",1602
10507,"A6301-0175-00",294335
10506,"A6301-0175-00",80
10507,"A6301-0176-00",109016
10507,"A6301-0177-00",188693
10506,"A6301-0177-00",2622
10507,"A6301-0178-00",212329
10507,"A6301-0179-00",80795
10507,"A6301-0180-00",117736
10506,"A6301-0180-00",40
10507,"A6301-0181-00",115020
10507,"A6301-0182-00",123170
10507,"A6301-0183-00",118397
10506,"A6301-0183-00",145
10507,"A6301-0184-00",87197
10506,"A6301-0184-00",557
10507,"A6301-0185-00",1238
10506,"A6301-0185-00",57794
10507,"A6301-0186-00",70387
10506,"A6301-0186-00",90774
10507,"A6301-0187-00",157677
10507,"A6301-0188-00",237204
10506,"A6301-0188-00",347
10507,"A6301-0189-00",138924
10506,"A6301-0189-00",697
10507,"A6301-0190-00",48039
10506,"A6301-0190-00",163184
10507,"A6301-0191-00",76667
10506,"A6301-0191-00",1555
10507,"A6301-0192-00",35080
10506,"A6301-0192-00",294
10507,"A6301-0193-00",188733
10507,"A6301-0194-00",102135
10507,"A6301-0195-00",80
10506,"A6301-0195-00",55762
10507,"A6301-0196-00",287657
10507,"A6301-0197-00",88724
10506,"A6301-0197-00",40
10507,"A6301-0198-00",400590
10507,"A6301-0199-00",137600
10506,"A6301-0199-00",1375
10507,"A6301-0200-00",177436
10506,"A6301-0200-00",40
10506,"A6301-0201-00",84039
10507,"A6301-0202-00",67061
10507,"A6301-0203-00",12233
10506,"A6301-0203-00",127212
10507,"A6301-0204-00",49165
10506,"A6301-0204-00",260247
10507,"A6301-0205-00",19482
10506,"A6301-0205-00",112658
10507,"A6301-0206-00",25819
10506,"A6301-0206-00",138224
10507,"A6301-0207-00",62936
10506,"A6301-0207-00",261150
10507,"A6301-0208-00",156582
10506,"A6301-0208-00",140
10507,"A6301-0209-00",41646
10506,"A6301-0209-00",239318
10506,"A6301-0210-00",43183
10507,"A6301-0211-00",190405
10506,"A6301-0211-00",15490
10507,"A6301-0212-00",21268
10506,"A6301-0212-00",76203
10506,"A6301-0213-00",80951
10507,"A6301-0214-00",31338
10506,"A6301-0214-00",118323
10507,"A6301-0215-00",458846
10506,"A6301-0215-00",6771
10507,"A6301-0216-00",2862
10506,"A6301-0216-00",27240
10507,"A6301-0217-00",202842
10506,"A6301-0217-00",44
10507,"A6301-0218-00",518303
10506,"A6301-0218-00",8575
10507,"A6301-0219-00",93972
10506,"A6301-0219-00",105274
10507,"A6301-0220-00",13684
10506,"A6301-0220-00",67993
10507,"A6301-0221-00",37008
10506,"A6301-0221-00",123815
10507,"A6301-0222-00",170009
10506,"A6301-0222-00",1155
10507,"A6301-0223-00",56402
10506,"A6301-0223-00",149730
10507,"A6301-0224-00",9398
10506,"A6301-0224-00",111324
10507,"A6301-0225-00",13795
10506,"A6301-0225-00",87935
10507,"A6301-0226-00",256503
10507,"A6301-0227-00",83
10506,"A6301-0227-00",83035
10507,"A6301-0228-00",162082
10506,"A6301-0228-00",40
10507,"A6301-0229-00",131857
10506,"A6301-0229-00",160
10507,"A6301-0230-00",14009
10506,"A6301-0230-00",86712
10507,"A6301-0231-00",11365
10506,"A6301-0231-00",104062
10507,"A6301-0232-00",163439
10507,"A6301-0233-00",365920
10506,"A6301-0233-00",586
10506,"A6301-0234-00",64157
10507,"A6301-0235-00",22526
10506,"A6301-0235-00",69896
10507,"A6301-0236-00",159114
10507,"A6301-0237-00",15816
10506,"A6301-0237-00",107082
10507,"A6301-0238-00",12880
10506,"A6301-0238-00",130621
10507,"A6301-0239-00",192346
10506,"A6301-0239-00",1074
10507,"A6301-0240-00",7905
10506,"A6301-0240-00",83540
10507,"A6301-0241-00",16817
10506,"A6301-0241-00",109319
10507,"A6301-0242-00",2460
10506,"A6301-0242-00",35592
10507,"A6301-0243-00",40
10506,"A6301-0243-00",49265
10507,"A6301-0244-00",1272
10506,"A6301-0244-00",159826
10507,"A6301-0245-00",11181
10506,"A6301-0245-00",59814
10507,"A6301-0246-00",2852
10506,"A6301-0246-00",102263
10507,"A6301-0247-00",76111
10506,"A6301-0247-00",3041
10507,"A6301-0248-00",20631
10506,"A6301-0248-00",76419
10507,"A6301-0249-00",255900
10506,"A6301-0249-00",3040
10507,"A6301-0250-00",30784
10506,"A6301-0250-00",106280
10507,"A6301-0251-00",4251
10506,"A6301-0251-00",1167
10506,"A6301-0252-00",68345
10507,"A6301-0253-00",100398
10506,"A6301-0254-00",70938
10507,"A6301-0255-00",3670
10506,"A6301-0255-00",55184
10507,"A6301-0256-00",4357
10506,"A6301-0256-00",66659
10507,"A6301-0257-00",79988
10507,"A6301-0258-00",6429
10506,"A6301-0258-00",81534
10507,"A6301-0259-00",113654
10506,"A6301-0259-00",268768
10506,"A6301-0260-00",73589
10507,"A6301-0261-00",34457
10506,"A6301-0261-00",131885
10507,"A6301-0262-00",64707
10507,"A6301-0263-00",5988
10506,"A6301-0263-00",99930
10507,"A6301-0264-00",10562
10506,"A6301-0264-00",61471
10507,"A6301-0265-00",40
10506,"A6301-0265-00",80722
10507,"A6301-0266-00",11396
10506,"A6301-0266-00",91219
10507,"A6301-0267-00",187454
10506,"A6301-0267-00",515656
10507,"A6301-0268-00",50605
10507,"A6301-0269-00",40
10506,"A6301-0269-00",28515
10507,"A6301-0270-00",8490
10506,"A6301-0270-00",43900
10507,"A6301-0271-00",114348
10506,"A6301-0271-00",1178
10507,"A6301-0272-00",33898
10506,"A6301-0272-00",66848
10506,"A6301-0273-00",101333
10507,"A6301-0274-00",22506
10506,"A6301-0274-00",98178
10507,"A6301-0275-00",26336
10506,"A6301-0275-00",129646
10507,"A6301-0276-00",115790
10506,"A6301-0276-00",498
10507,"A6301-0277-00",4814
10507,"A6301-0278-00",32920
10507,"A6301-0279-00",3002
10506,"A6301-0279-00",104078
10507,"A6301-0280-00",102317
10506,"A6301-0280-00",55273
10507,"A6301-0281-00",121347
10507,"A6301-0282-00",3987
10506,"A6301-0282-00",79202
10507,"A6301-0283-00",143
10506,"A6301-0283-00",101824
10507,"A6301-0284-00",122420
10506,"A6301-0284-00",644543
10506,"A6301-0286-00",69449
10507,"A6301-0286-00",585
10507,"A6301-0287-00",3920
10506,"A6301-0287-00",122412
10507,"A6301-0288-00",1867
10506,"A6301-0288-00",91555
10507,"A6301-0289-00",14360
10506,"A6301-0289-00",106236
