"縣市","統計年月","行政區域","售電量度數"
"高雄市",10407,"杉林區月眉里","589867"
"高雄市",10407,"杉林區杉林里","225"
"高雄市",10407,"杉林區集來里","199216"
"高雄市",10407,"杉林區新庄里","357868"
"高雄市",10407,"三民區力行里","475432"
"高雄市",10407,"三民區十全里","767465"
"高雄市",10407,"三民區十美里","881252"
"高雄市",10407,"三民區千北里","12872"
"高雄市",10407,"三民區千秋里","723452"
"高雄市",10407,"三民區千歲里","4657"
"高雄市",10407,"三民區川東里","437063"
"高雄市",10407,"三民區本上里","14361"
"高雄市",10407,"三民區本元里","1568826"
"高雄市",10407,"三民區本文里","1088106"
"高雄市",10407,"三民區本和里","3134403"
"高雄市",10407,"三民區本武里","809380"
"高雄市",10407,"三民區本揚里","378616"
"高雄市",10407,"三民區本館里","4058303"
"高雄市",10407,"三民區正順里","1673365"
"高雄市",10407,"三民區正興里","4919938"
"高雄市",10407,"三民區民享里","1119755"
"高雄市",10407,"三民區立業里","481838"
"高雄市",10407,"三民區立誠里","538695"
"高雄市",10407,"三民區立德里","3782"
"高雄市",10407,"三民區同德里","1649641"
"高雄市",10407,"三民區安生里","981224"
"高雄市",10407,"三民區安吉里","2354067"
"高雄市",10407,"三民區安邦里","1593572"
"高雄市",10407,"三民區安和里","1620188"
"高雄市",10407,"三民區安宜里","1378677"
"高雄市",10407,"三民區安東里","1681758"
"高雄市",10407,"三民區安泰里","1927665"
"高雄市",10407,"三民區安康里","1054676"
"高雄市",10407,"三民區安發里","2029954"
"高雄市",10407,"三民區安寧里","507844"
"高雄市",10407,"三民區長明里","33160"
"高雄市",10407,"三民區建東里","130440"
"高雄市",10407,"三民區博惠里","0"
"高雄市",10407,"三民區博愛里","52463"
"高雄市",10407,"三民區港西里","12034"
"高雄市",10407,"三民區港新里","8423"
"高雄市",10407,"三民區裕民里","598265"
"高雄市",10407,"三民區達仁里","877264"
"高雄市",10407,"三民區達明里","870815"
"高雄市",10407,"三民區達勇里","523084"
"高雄市",10407,"三民區達德里","852716"
"高雄市",10407,"三民區鼎力里","2059038"
"高雄市",10407,"三民區鼎中里","1842860"
"高雄市",10407,"三民區鼎西里","3202868"
"高雄市",10407,"三民區鼎金里","1737341"
"高雄市",10407,"三民區鼎泰里","9389799"
"高雄市",10407,"三民區鼎強里","1662673"
"高雄市",10407,"三民區鼎盛里","3322432"
"高雄市",10407,"三民區精華里","998717"
"高雄市",10407,"三民區鳳北里","9320"
"高雄市",10407,"三民區鳳南里","31037"
"高雄市",10407,"三民區德仁里","1160124"
"高雄市",10407,"三民區德北里","936682"
"高雄市",10407,"三民區德行里","522837"
"高雄市",10407,"三民區德西里","313235"
"高雄市",10407,"三民區德東里","349359"
"高雄市",10407,"三民區德智里","1275387"
"高雄市",10407,"三民區興德里","4099"
"高雄市",10407,"三民區豐裕里","970467"
"高雄市",10407,"三民區寶中里","1294586"
"高雄市",10407,"三民區寶民里","5088"
"高雄市",10407,"三民區寶玉里","3223200"
"高雄市",10407,"三民區寶安里","3574420"
"高雄市",10407,"三民區寶泰里","2030697"
"高雄市",10407,"三民區寶珠里","2495654"
"高雄市",10407,"三民區寶國里","3598"
"高雄市",10407,"三民區寶盛里","2169524"
"高雄市",10407,"三民區寶華里","11055"
"高雄市",10407,"三民區寶業里","403062"
"高雄市",10407,"三民區寶獅里","1505921"
"高雄市",10407,"三民區寶德里","2082798"
"高雄市",10407,"三民區寶慶里","868"
"高雄市",10407,"三民區寶興里","3024119"
"高雄市",10407,"三民區寶龍里","1709109"
"高雄市",10407,"三民區灣子里","1949767"
"高雄市",10407,"三民區灣中里","2888186"
"高雄市",10407,"三民區灣成里","991666"
"高雄市",10407,"三民區灣利里","1580956"
"高雄市",10407,"三民區灣勝里","898118"
"高雄市",10407,"三民區灣復里","1807431"
"高雄市",10407,"三民區灣華里","1275383"
"高雄市",10407,"三民區灣愛里","1301814"
"高雄市",10407,"三民區灣興里","1071049"
"高雄市",10407,"仁武區八卦里","8551165"
"高雄市",10407,"仁武區大灣里","2559670"
"高雄市",10407,"仁武區中華里","608196"
"高雄市",10407,"仁武區五和里","1841684"
"高雄市",10407,"仁武區仁和里","1911940"
"高雄市",10407,"仁武區仁武里","58089"
"高雄市",10407,"仁武區仁慈里","1032790"
"高雄市",10407,"仁武區文武里","6613"
"高雄市",10407,"仁武區竹後里","981792"
"高雄市",10407,"仁武區考潭里","282575"
